Common Name,Species,Class,Caudal,B9,node,Mammalia,Reptilia,Aves
European Golden-Plover,Pluvialis apricaria,Aves,8.0,47575.0,0,0,0,1
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,43692.0,0,0,0,1
Common Snipe,Gallinago gallinago,Aves,6.5,49061.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,7.5,46643.0,0,0,0,1
Common Murre,Uria aalge,Aves,8.0,47132.0,0,0,0,1
Common Tern,Sterna hirundo,Aves,8.0,50539.0,0,0,0,1
Razorbill,Alca torda,Aves,8.0,47760.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,6.5,46576.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,6.0,49142.0,0,0,0,1
White Stork,Ciconia ciconia,Aves,6.0,43222.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,76238.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,67564.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,17136.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,127061.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,138831.0,0,0,1,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,72647.50000000001,63,2,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,76526.0,49,2,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,74552.4771595911,60,3,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,73411.41781583955,47,5,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,73174.81204956095,68,6,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,81983.5,87,2,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,78219.22663920117,80,3,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,72993.75960627587,79,4,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,71346.48980776635,94,5,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,72275.66223957142,92,11,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,80648.11179789467,98,12,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,61244.27670411014,77,2,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,64004.52325799645,71,3,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,15.827089592722418,100047.87334908613,46,2,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,103812.93632267468,67,2,0,0
Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,9.284569185616926,101973.45354937678,32,4,0,0
Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.026365567206108,97279.58351282297,106,5,0,0
