Common Name,Species,Class,Sacral,A11,node,Mammalia,Reptilia,Aves,Amphibia
Painted Frog,Discoglossus pictus,Amphibia,1.0,28234.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,4960.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,20509.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,15241.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,13430.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,18098.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,18356.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,19314.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,12.0,18278.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,12.5,18096.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,12.0,18176.0,0,0,0,1,0
Razorbill,Alca torda,Aves,17.0,18249.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,15.0,18269.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,15.0,15146.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,13.0,19188.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,23927.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,24057.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,2.0,18038.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,24170.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,2.0,28862.0,0,0,1,0,0
Axolotl+Iberian Ribbed Newt,Ambystoma mexicanum+Pleurodeles waltl,Amphibia+Amphibia,1.0,55456.0,25,0,0,0,2
Common Toad+Asiatic Toad,Bufo bufo+Bufo gargarizans,Amphibia+Amphibia,1.0,8431.0,37,0,0,0,2
Common Toad+Asiatic Toad+Common Frog,Bufo bufo+Bufo gargarizans+Rana temporaria,Amphibia+Amphibia+Amphibia,1.0,15219.79015148922,36,0,0,0,3
African Clawed Frog+Western Clawed Frog,Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia,1.0,23997.499999999996,35,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,18917.471835792338,34,0,0,0,5
European Fire-Bellied Toad+Painted Frog,Bombina bombina+Discoglossus pictus,Amphibia+Amphibia,1.0,25613.5,43,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,21493.17087807064,33,0,0,0,7
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,34424.19964558092,51,0,0,0,9
Gaboon Caecilian+Tiny Cayenne Caecilian,Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia,0.0,17821.5,14,0,0,0,2
Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia,0.0,18821.89204967855,13,0,0,0,3
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog+Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus+Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,0.6364784958984597,28752.425320863604,50,0,0,0,12
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,2.9999999999999996,18623.999999999996,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,3.0,18170.853387781925,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,2.6040468306388176,18505.8878206339,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.7806738427073516,16096.210669097736,56,5,0,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,2.5000000000000004,12923.0,63,2,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.6360347623421885,14460.966470507514,47,7,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.4050066392401988,15949.825108414621,68,8,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,4.5,8386.0,73,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,4.0,10273.0,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,4.451463339033721,9008.451187366547,82,3,0,0,0
Cattle+Goat+Sheep+Orca,Bos taurus+Capra hircus+Ovis aries+Orcinus orca,Mammalia+Mammalia+Mammalia+Mammalia,2.4803038241696975,9158.807333605977,80,4,0,0,0
Cattle+Goat+Sheep+Orca+Wild Boar,Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.9727216531717295,9261.909351286917,79,5,0,0,0
Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar,Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.420311143219838,9005.212318499767,94,7,0,0,0
