Common Name,Species,Class,Caudal,D9,node,Mammalia,Reptilia,Aves,Amphibia
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,2727.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,17513.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,18361.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,16331.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,5583.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,16327.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,5853.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,2973.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,8526.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,4494.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,3820.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,8826.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,8027.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,8238.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,8936.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,6819.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,8872.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,8898.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,7314.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,8163.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,4853.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,2660.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,2724.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,6295.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,13550.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,6051.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,5366.500000000001,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,2496.0,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,-3710.769018309917,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,1726.41041291875,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,1733.1043615093427,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,5014.000000000001,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,6366.060481540834,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,1045.519195944589,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,3103.424738043909,94,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,2407.013630904018,92,11,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,2502.783464001647,98,12,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,5454.5422615001125,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,4552.312463884437,71,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,15.827089592722418,6620.55960242447,46,2,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,1791.962772603827,67,2,0,0,0
Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,9.284569185616926,4151.052315053158,32,4,0,0,0
Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.026365567206108,5733.955602603506,106,5,0,0,0
