Common Name,Species,Class,Lumbar,C4,node,Mammalia,Reptilia,Aves,Amphibia
Ostrich,Struthio camelus australis,Aves,0.0,23379.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,21393.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,21399.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,19087.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,21888.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,30923.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,22507.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,18630.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,33728.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,32740.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,1331.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,22028.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,15005.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,17276.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,19445.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,-49335.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,56180.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,19616.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,20047.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,21856.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,52082.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,87511.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,40153.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,21798.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,25131.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,19752.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,20720.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,18851.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,19252.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,18440.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,20685.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,19948.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,10276.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,526.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,22366.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,21775.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,188.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,-591.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,3143.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,24280.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,19192.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,24536.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,27380.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,33488.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,11253.5,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,14471.932866295852,57,3,0,0,0
