Common Name,Species,Class,Thoracic,B9,node,Mammalia,Reptilia,Aves
Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard+Brown Falcon+Merlin+Kakapo+Budgerigar+Barn Swallow+California Condor+Steller'S Sea Eagle+Oriental Scops Owl+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+White Stork+Royal Penguin,Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos+Falco berigora+Falco columbarius+Strigops habroptila+Melopsittacus undulatus+Hirundo rustica+Gymnogyps californianus+Haliaeetus pelagicus+Otus sunia+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Ciconia ciconia+Eudyptes schlegeli,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,6.4115226681159525,41028.07895105885,225,0,0,28
Okarito Kiwi+Emu,Apteryx rowi+Dromaius novaehollandiae,Aves+Aves,8.166666666666666,42412.49999999999,23,0,0,2
Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard+Brown Falcon+Merlin+Kakapo+Budgerigar+Barn Swallow+California Condor+Steller'S Sea Eagle+Oriental Scops Owl+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+White Stork+Royal Penguin+Okarito Kiwi+Emu,Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos+Falco berigora+Falco columbarius+Strigops habroptila+Melopsittacus undulatus+Hirundo rustica+Gymnogyps californianus+Haliaeetus pelagicus+Otus sunia+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Ciconia ciconia+Eudyptes schlegeli+Apteryx rowi+Dromaius novaehollandiae,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,6.918481074904515,41427.957188898756,229,0,0,30
American Alligator+Australian Saltwater Crocodile,Alligator mississippiensis+Crocodylus porosus,Reptilia+Reptilia,19.0,85371.5,119,0,2,0
Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard+Brown Falcon+Merlin+Kakapo+Budgerigar+Barn Swallow+California Condor+Steller'S Sea Eagle+Oriental Scops Owl+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+White Stork+Royal Penguin+Okarito Kiwi+Emu+American Alligator+Australian Saltwater Crocodile,Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos+Falco berigora+Falco columbarius+Strigops habroptila+Melopsittacus undulatus+Hirundo rustica+Gymnogyps californianus+Haliaeetus pelagicus+Otus sunia+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Ciconia ciconia+Eudyptes schlegeli+Apteryx rowi+Dromaius novaehollandiae+Alligator mississippiensis+Crocodylus porosus,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia,12.2602080586113,60857.17050628621,228,0,2,30
Green Sea Turtle+Snapping Turtle,Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia,9.25,68428.0,224,0,2,0
Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia+Reptilia,9.555718885516846,61057.72910795985,234,0,3,0
West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Reptilia+Reptilia+Reptilia+Reptilia,8.722604140017063,66006.20274193786,233,0,4,0
Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard+Brown Falcon+Merlin+Kakapo+Budgerigar+Barn Swallow+California Condor+Steller'S Sea Eagle+Oriental Scops Owl+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+White Stork+Royal Penguin+Okarito Kiwi+Emu+American Alligator+Australian Saltwater Crocodile+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle,Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos+Falco berigora+Falco columbarius+Strigops habroptila+Melopsittacus undulatus+Hirundo rustica+Gymnogyps californianus+Haliaeetus pelagicus+Otus sunia+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Ciconia ciconia+Eudyptes schlegeli+Apteryx rowi+Dromaius novaehollandiae+Alligator mississippiensis+Crocodylus porosus+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,10.64813521097268,63203.56519877301,223,0,6,30
Sand Lizard+Common Wall Lizard,Lacerta agilis+Podarcis muralis,Reptilia+Reptilia,20.0,91421.5,121,0,2,0
Viviparous (Common) Lizard+Sand Lizard+Common Wall Lizard,Zootoca vivipara+Lacerta agilis+Podarcis muralis,Reptilia+Reptilia+Reptilia,20.000000000000004,81885.25954250389,120,0,3,0
Viviparous (Common) Lizard+Sand Lizard+Common Wall Lizard+Argentine Black And White Tegu,Zootoca vivipara+Lacerta agilis+Podarcis muralis+Salvator merianae,Reptilia+Reptilia+Reptilia+Reptilia,20.88780004313791,97715.06300075132,136,0,4,0
Central Bearded Dragon+Desert Horned Lizard,Pogona vitticeps+Phrynosoma platyrhinos,Reptilia+Reptilia,17.5,97142.0,123,0,2,0
Chinese Crocodile Lizard+Komodo Dragon,Shinisaurus crocodilurus+Varanus komodoensis,Reptilia+Reptilia,23.835000000000004,129395.5,124,0,2,0
Central Bearded Dragon+Desert Horned Lizard+Chinese Crocodile Lizard+Komodo Dragon,Pogona vitticeps+Phrynosoma platyrhinos+Shinisaurus crocodilurus+Varanus komodoensis,Reptilia+Reptilia+Reptilia+Reptilia,20.35957688801856,111701.01549450775,128,0,4,0
Viviparous (Common) Lizard+Sand Lizard+Common Wall Lizard+Argentine Black And White Tegu+Central Bearded Dragon+Desert Horned Lizard+Chinese Crocodile Lizard+Komodo Dragon,Zootoca vivipara+Lacerta agilis+Podarcis muralis+Salvator merianae+Pogona vitticeps+Phrynosoma platyrhinos+Shinisaurus crocodilurus+Varanus komodoensis,Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,20.574608171948846,106007.55565168652,134,0,8,0
Viviparous (Common) Lizard+Sand Lizard+Common Wall Lizard+Argentine Black And White Tegu+Central Bearded Dragon+Desert Horned Lizard+Chinese Crocodile Lizard+Komodo Dragon+Common Leopard Gecko,Zootoca vivipara+Lacerta agilis+Podarcis muralis+Salvator merianae+Pogona vitticeps+Phrynosoma platyrhinos+Shinisaurus crocodilurus+Varanus komodoensis+Eublepharis macularius,Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,21.124333949869357,108998.58809075858,139,0,9,0
Regal Horned Lizard+Viviparous (Common) Lizard+Sand Lizard+Common Wall Lizard+Argentine Black And White Tegu+Central Bearded Dragon+Desert Horned Lizard+Chinese Crocodile Lizard+Komodo Dragon+Common Leopard Gecko,Sphenodon punctatus+Zootoca vivipara+Lacerta agilis+Podarcis muralis+Salvator merianae+Pogona vitticeps+Phrynosoma platyrhinos+Shinisaurus crocodilurus+Varanus komodoensis+Eublepharis macularius,Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,21.0888222698451,82761.22622855428,133,0,10,0
Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard+Brown Falcon+Merlin+Kakapo+Budgerigar+Barn Swallow+California Condor+Steller'S Sea Eagle+Oriental Scops Owl+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+White Stork+Royal Penguin+Okarito Kiwi+Emu+American Alligator+Australian Saltwater Crocodile+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle+Regal Horned Lizard+Viviparous (Common) Lizard+Sand Lizard+Common Wall Lizard+Argentine Black And White Tegu+Central Bearded Dragon+Desert Horned Lizard+Chinese Crocodile Lizard+Komodo Dragon+Common Leopard Gecko,Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos+Falco berigora+Falco columbarius+Strigops habroptila+Melopsittacus undulatus+Hirundo rustica+Gymnogyps californianus+Haliaeetus pelagicus+Otus sunia+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Ciconia ciconia+Eudyptes schlegeli+Apteryx rowi+Dromaius novaehollandiae+Alligator mississippiensis+Crocodylus porosus+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina+Sphenodon punctatus+Zootoca vivipara+Lacerta agilis+Podarcis muralis+Salvator merianae+Pogona vitticeps+Phrynosoma platyrhinos+Shinisaurus crocodilurus+Varanus komodoensis+Eublepharis macularius,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,15.014501298140525,71382.71158858768,203,0,16,30
Western European Hedgehog+Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar+Flying Fox+Rabbit+Norway Rat+House Mouse+Guinea Pig+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque+African Bush Elephant+Linne'S Two-Toed Sloth+Short-Beaked Echidna+Platypus+Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard+Brown Falcon+Merlin+Kakapo+Budgerigar+Barn Swallow+California Condor+Steller'S Sea Eagle+Oriental Scops Owl+European Golden-Plover+Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Murre+Common Tern+Razorbill+Eurasian Coot+White Stork+Royal Penguin+Okarito Kiwi+Emu+American Alligator+Australian Saltwater Crocodile+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle+Regal Horned Lizard+Viviparous (Common) Lizard+Sand Lizard+Common Wall Lizard+Argentine Black And White Tegu+Central Bearded Dragon+Desert Horned Lizard+Chinese Crocodile Lizard+Komodo Dragon+Common Leopard Gecko,Erinaceus europaeus+Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus+Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina+Loxodonta africana+Choloepus didactylus+Tachyglossus aculeatus+Ornithorhynchus anatinus+Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos+Falco berigora+Falco columbarius+Strigops habroptila+Melopsittacus undulatus+Hirundo rustica+Gymnogyps californianus+Haliaeetus pelagicus+Otus sunia+Pluvialis apricaria+Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Uria aalge+Sterna hirundo+Alca torda+Fulica atra+Ciconia ciconia+Eudyptes schlegeli+Apteryx rowi+Dromaius novaehollandiae+Alligator mississippiensis+Crocodylus porosus+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina+Sphenodon punctatus+Zootoca vivipara+Lacerta agilis+Podarcis muralis+Salvator merianae+Pogona vitticeps+Phrynosoma platyrhinos+Shinisaurus crocodilurus+Varanus komodoensis+Eublepharis macularius,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia,15.27944402351213,71465.47247637028,root,36,16,30
