Common Name,Species,Class,Thoracic,B9,node,Mammalia,Reptilia,Aves
Golden Pheasant,Chrysolophus pictus,Aves,7.0,37416.0,0,0,0,1
Bar-Headed Goose,Anser indicus,Aves,9.0,44917.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,47792.0,0,0,0,1
Brown Falcon,Falco berigora,Aves,7.0,48072.0,0,0,0,1
Merlin,Falco columbarius,Aves,7.0,46347.0,0,0,0,1
California Condor,Gymnogyps californianus,Aves,5.0,47926.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,47312.0,0,0,0,1
Oriental Scops Owl,Otus sunia,Aves,5.0,43098.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,6.0,47575.0,0,0,0,1
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,43692.0,0,0,0,1
Common Snipe,Gallinago gallinago,Aves,7.0,49061.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,7.0,46643.0,0,0,0,1
Common Murre,Uria aalge,Aves,6.666666666666667,47132.0,0,0,0,1
Common Tern,Sterna hirundo,Aves,7.0,50539.0,0,0,0,1
Razorbill,Alca torda,Aves,8.0,47760.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,8.0,46576.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,7.0,49142.0,0,0,0,1
White Stork,Ciconia ciconia,Aves,5.5,43222.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,76238.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,67564.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,17136.0,0,0,1,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,117546.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,127061.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,138831.0,0,0,1,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,119204.0,0,0,1,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,76526.0,49,2,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,73408.56969184914,57,3,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,72969.23205573436,60,4,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,74293.98780747852,56,5,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,75268.00000000001,48,2,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,74935.63273453095,63,3,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,74659.46216610333,47,8,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,74051.16711466243,68,9,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,12.0,63017.5,73,2,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,77967.5,72,2,0,0
