Common Name,Species,Class,Caudal,C10,node,Mammalia,Reptilia,Aves,Amphibia
Bar-Headed Goose,Anser indicus,Aves,5.0,10342.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,15490.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,14518.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,12288.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,14992.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,15841.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,16896.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,15717.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,18928.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,12973.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,15511.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,15719.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,12910.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,15451.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,17477.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,9218.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,17884.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,13811.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,19936.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,9887.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,9848.5,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,9407.527129698079,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,9694.725848054799,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,9375.662827549944,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,8829.0,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,12130.552631458573,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,11088.658904833617,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,12652.43063158468,94,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,10987.14305845589,92,11,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,12275.790595709064,98,12,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,13700.787413809847,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,11790.815657128107,71,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,15.827089592722418,11445.384524703722,46,2,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,12256.240652447643,67,2,0,0,0
Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,9.284569185616926,11860.083698614184,32,4,0,0,0
Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.026365567206108,13945.967115077188,106,5,0,0,0
