Common Name,Species,Class,Cervical,A3,node,Mammalia,Reptilia,Aves,Amphibia
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,23691.968184015783,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.0,16291.50586322594,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,7.0,11674.5,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,7.0,14034.093384659254,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.0,15005.706906557194,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.999999999999999,17610.813181273243,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,-6830.0,73,2,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,7.000000000000001,139.99999999999974,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,7.0,10385.260715969014,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,7.0,19178.457358522377,87,4,0,0,0
