Common Name,Species,Class,Thoracic,C10,node,Mammalia,Reptilia,Aves,Amphibia
Guinea Pig,Cavia porcellus,Mammalia,13.5,17349.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,17171.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,17276.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,17154.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,7503.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,17350.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,7434.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,17134.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,8634.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,16307.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,11825.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,11953.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,10881.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,18167.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,18428.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,11542.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,10592.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,17203.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,19155.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,17632.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,11091.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,24397.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,26909.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,22047.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,11127.0,0,0,0,1,0
