Common Name,Species,Class,Caudal,B5,node,Mammalia,Reptilia,Aves,Amphibia
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,7440.796943133782,92,11,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,6192.304172790586,98,12,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,1191.9185577244718,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,805.8703685226519,71,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,15.827089592722418,3846.542944625271,46,2,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,7950.967034650323,67,2,0,0,0
Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,9.284569185616926,5945.68386651411,32,4,0,0,0
Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.026365567206108,4318.206001296426,106,5,0,0,0
Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,14.280206798603656,2121.055615841812,103,8,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,16.16758935800223,4267.1391733240125,31,20,0,0,0
African Bush Elephant+Linne'S Two-Toed Sloth,Loxodonta africana+Choloepus didactylus,Mammalia+Mammalia,12.000000000000002,1683.4999999999998,30,2,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee+African Bush Elephant+Linne'S Two-Toed Sloth,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes+Loxodonta africana+Choloepus didactylus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.025274600909379,3558.9769958234097,111,22,0,0,0
Short-Beaked Echidna+Platypus,Tachyglossus aculeatus+Ornithorhynchus anatinus,Mammalia+Mammalia,16.0,8524.0,29,2,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee+African Bush Elephant+Linne'S Two-Toed Sloth+Short-Beaked Echidna+Platypus,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes+Loxodonta africana+Choloepus didactylus+Tachyglossus aculeatus+Ornithorhynchus anatinus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.39267281921966,5430.417513640932,28,24,0,0,0
Golden Pheasant+Common Pheasant,Chrysolophus pictus+Phasianus colchicus,Aves+Aves,5.5,4453.0,220,0,0,2,0
Chicken+Golden Pheasant+Common Pheasant,Gallus gallus+Chrysolophus pictus+Phasianus colchicus,Aves+Aves+Aves,5.724036974761189,-2245.257471410035,218,0,0,3,0
Black Swan+Mute Swan,Cygnus atratus+Cygnus olor,Aves+Aves,8.5,2568.0,212,0,0,2,0
Bar-Headed Goose+Swan Goose,Anser indicus+Anser cygnoides,Aves+Aves,5.5,-2873.0000000000005,213,0,0,2,0
Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose,Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides,Aves+Aves+Aves+Aves,6.9195843069198135,-298.34726201643247,211,0,0,4,0
Eastern Spot-Billed Duck+Mallard,Anas zonorhyncha+Anas platyrhynchos,Aves+Aves,6.25,10405.0,206,0,0,2,0
Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard,Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos,Aves+Aves+Aves+Aves+Aves+Aves,6.615136448368481,4568.2709062651065,205,0,0,6,0
Chicken+Golden Pheasant+Common Pheasant+Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard,Gallus gallus+Chrysolophus pictus+Phasianus colchicus+Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,6.176035175165124,1210.812985733491,204,0,0,9,0
Steller'S Sea Eagle+Oriental Scops Owl,Haliaeetus pelagicus+Otus sunia,Aves+Aves,7.0,4374.0,182,0,0,2,0
Barn Swallow+White Or Black-Backed Wagtail,Hirundo rustica+Motacilla alba alba,Aves+Aves,5.999999999999999,5638.0,150,0,0,2,0
Kakapo+Budgerigar,Strigops habroptila+Melopsittacus undulatus,Aves+Aves,6.5,-1255.0,166,0,0,2,0
Barn Swallow+White Or Black-Backed Wagtail+Kakapo+Budgerigar,Hirundo rustica+Motacilla alba alba+Strigops habroptila+Melopsittacus undulatus,Aves+Aves+Aves+Aves,6.271497701971064,1895.1326806269287,20,0,0,4,0
Steller'S Sea Eagle+Oriental Scops Owl+Barn Swallow+White Or Black-Backed Wagtail+Kakapo+Budgerigar,Haliaeetus pelagicus+Otus sunia+Hirundo rustica+Motacilla alba alba+Strigops habroptila+Melopsittacus undulatus,Aves+Aves+Aves+Aves+Aves+Aves,6.5988344358274675,3008.958037365515,187,0,0,6,0
