Common Name,Species,Class,Lumbar,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,4370.0,4240.0,2191.0,10703.0,1624.0,7250.0,7006.0,6453.0,8419.0,13413.0,16053.0,5054.0,24563.0,13300.0,1718.0,3001.0,1276.0,7253.0,110653.0,23266.0,18430.0,21795.0,11753.0,17935.0,16894.0,19999.0,16621.0,21417.0,15252.0,21717.0,-1776.0,2846.0,7580.0,6473.0,4987.0,0,1,0,0
Cat,Felis catus,Mammalia,7.0,10207.0,26291.0,23403.0,16698.0,6677.0,12515.0,12683.0,18376.0,15106.0,19017.0,8900.0,3712.0,-28237.0,13010.0,129.0,8095.0,1306.0,4051.0,72299.0,-30297.0,1797.0,13204.0,6039.0,9921.0,8904.0,15411.0,7861.0,13921.0,4229.0,4300.0,3990.0,-10798.0,1826.0,4563.0,3926.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,7.0,8388.0,22234.0,22457.0,22223.0,6665.0,11283.0,11937.0,11241.0,13628.0,17711.0,9204.0,5335.0,39.0,12905.0,1969.0,2438.0,2185.0,8326.0,70245.0,17738.0,2874.0,16482.0,6614.0,10727.0,10030.0,16829.0,9189.0,14123.0,12331.0,18006.0,4974.0,2330.0,6456.0,6139.0,4742.0,0,1,0,0
Lion,Panthera leo,Mammalia,7.0,8394.0,22261.0,22462.0,22211.0,6673.0,11286.0,11629.0,11244.0,13659.0,17712.0,9204.0,5320.0,42.0,12890.0,1962.0,2441.0,2177.0,8351.0,70366.0,17729.0,2889.0,16408.0,6648.0,10751.0,10033.0,16826.0,9184.0,13767.0,12345.0,17683.0,4981.0,2339.0,6461.0,6147.0,4730.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,7.0,4750.0,5550.0,18284.0,11049.0,1689.0,6245.0,6955.0,6246.0,8661.0,14773.0,13537.0,9919.0,28511.0,17282.0,6217.0,14893.0,6828.0,13624.0,74337.0,18181.0,3315.0,16724.0,1079.0,10154.0,10087.0,16414.0,9559.0,20846.0,20693.0,23416.0,10195.0,8051.0,11998.0,9345.0,7970.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,6.0,756.0,3873.0,17399.0,89.0,-1273.0,1097.0,5428.0,3690.0,6922.0,11073.0,10785.0,5360.0,-14566.0,10075.0,1663.0,9056.0,1252.0,6049.0,70958.0,-42048.0,1202.0,5985.0,6441.0,9728.0,9687.0,15653.0,8165.0,12866.0,11450.0,16532.0,4733.0,2682.0,2465.0,4813.0,3618.0,0,1,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,3939.0,4007.0,5950.0,-9655.0,1701.0,3890.0,5068.0,2507.0,7312.0,11474.0,13075.0,63767.0,29644.0,19921.0,25031.0,15735.0,7975.0,14680.0,79578.0,23402.0,42476.0,21304.0,13841.0,18249.0,17236.0,21363.0,17538.0,12164.0,15438.0,17874.0,3812.0,2322.0,-2056.0,6077.0,5064.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4282.0,3607.0,-24040.0,10219.0,-130.0,4515.0,4534.0,4761.0,1413.0,10923.0,9097.0,3785.0,-16248.0,12734.0,1915.0,2812.0,1306.0,-25458.0,59619.0,-40229.0,1905.0,3903.0,6329.0,9549.0,8708.0,14343.0,7804.0,8583.0,12263.0,4182.0,4792.0,2445.0,448.0,5240.0,4901.0,0,1,0,0
Cattle,Bos taurus,Mammalia,6.0,4665.0,4329.0,-11649.0,9384.0,25.0,1088.0,5218.0,5049.0,1715.0,7472.0,9249.0,3947.0,-737.0,12655.0,90.0,4468.0,1295.0,4928.0,72860.0,22191.0,15138.0,21322.0,17772.0,17850.0,16831.0,20603.0,17481.0,21432.0,41786.0,23406.0,12979.0,8291.0,12604.0,10181.0,7970.0,0,1,0,0
Sheep,Ovis aries,Mammalia,7.0,3285.0,4346.0,-24065.0,-13655.0,-8427.0,1054.0,3701.0,5065.0,1757.0,1921.0,9208.0,2349.0,22240.0,12629.0,120.0,3931.0,-13556.0,-4681.0,63042.0,22190.0,15925.0,21261.0,12595.0,18232.0,17372.0,21423.0,17525.0,20795.0,36876.0,26172.0,11609.0,15347.0,14105.0,23868.0,9691.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,9906.0,39663.0,23473.0,15880.0,7008.0,12657.0,14198.0,13010.0,14100.0,21481.0,8650.0,3727.0,-14790.0,8886.0,1809.0,8063.0,293.0,-3816.0,65544.0,22720.0,18272.0,21248.0,12796.0,18433.0,16379.0,21418.0,17741.0,20414.0,36606.0,37015.0,11504.0,12926.0,13161.0,11334.0,7452.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,11156.0,50550.0,22442.0,16557.0,10843.0,12711.0,13614.0,30459.0,3662.0,98423.0,11284.0,3793.0,-28395.0,12972.0,1914.0,2692.0,1355.0,7495.0,74535.0,-19131.0,2089.0,7514.0,-2680.0,9851.0,9003.0,15427.0,8720.0,15347.0,4666.0,4106.0,5109.0,2850.0,7259.0,6042.0,3714.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,6.0,9464.0,50650.0,22644.0,14905.0,6918.0,13715.0,11747.0,17757.0,14613.0,18780.0,11726.0,3702.0,-14537.0,12146.0,1943.0,2658.0,280.0,2806.0,74720.0,670.0,2126.0,3951.0,5647.0,5134.0,10095.0,15917.0,8012.0,14709.0,-17167.0,14045.0,4407.0,2657.0,-2743.0,1853.0,3410.0,0,1,0,0
Lemur,Lemur catta,Mammalia,7.0,9952.0,51629.0,24054.0,16632.0,11036.0,14015.0,15186.0,12709.0,14803.0,18452.0,8823.0,3625.0,-14961.0,11093.0,84.0,6207.0,226.0,-4678.0,70498.0,22443.0,11865.0,21617.0,17797.0,17796.0,17171.0,21616.0,17371.0,30932.0,22886.0,26241.0,9242.0,9046.0,12718.0,9823.0,8043.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,4263.0,2914.0,-23967.0,10275.0,1590.0,5876.0,5705.0,3398.0,2171.0,8076.0,12030.0,1227.0,-22813.0,12701.0,1720.0,4927.0,47.0,2455.0,89786.0,24371.0,17141.0,21891.0,12282.0,18162.0,17276.0,23015.0,19903.0,26848.0,36690.0,34622.0,11608.0,8261.0,12522.0,9796.0,9740.0,0,1,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,9692.0,26246.0,24511.0,15259.0,6695.0,11889.0,11795.0,11898.0,14634.0,18563.0,11708.0,3844.0,-14737.0,12827.0,1704.0,8700.0,1328.0,5895.0,97354.0,23027.0,17966.0,21820.0,12246.0,18174.0,17154.0,21476.0,20150.0,15476.0,12908.0,17109.0,4743.0,2387.0,6977.0,4817.0,3869.0,0,1,0,0
Human,Homo sapiens,Mammalia,5.0,9690.0,52229.0,23747.0,15156.0,6722.0,11279.0,11821.0,17423.0,14627.0,18934.0,16583.0,47586.0,29480.0,18272.0,13729.0,15266.0,8060.0,14012.0,107594.0,-18473.0,-13935.0,4119.0,5648.0,9882.0,7503.0,14170.0,8359.0,15570.0,-697.0,18855.0,4768.0,2782.0,1099.0,4791.0,3851.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,10313.0,55945.0,24679.0,15417.0,6867.0,15053.0,15018.0,17839.0,14777.0,18962.0,9897.0,3841.0,-14822.0,12713.0,1759.0,2233.0,90.0,4291.0,99761.0,-60.0,18471.0,23419.0,12272.0,18191.0,17350.0,22794.0,17693.0,14138.0,-3127.0,4122.0,4754.0,731.0,4998.0,2795.0,3806.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,10121.0,26814.0,23127.0,15438.0,6399.0,30373.0,10979.0,11574.0,13122.0,17180.0,9375.0,3825.0,-27778.0,12823.0,1603.0,2820.0,1465.0,8112.0,104619.0,22386.0,18203.0,21277.0,11447.0,17953.0,16307.0,20503.0,17510.0,13555.0,-6.0,17280.0,5047.0,3464.0,7493.0,6570.0,4987.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,8521.0,27328.0,24676.0,25262.0,7143.0,12830.0,14230.0,13330.0,16314.0,22121.0,16957.0,5679.0,25892.0,13664.0,2457.0,2481.0,2452.0,7843.0,56347.0,20812.0,3410.0,16527.0,7215.0,11285.0,11825.0,18484.0,11859.0,17122.0,16424.0,19815.0,6711.0,3510.0,7807.0,6901.0,8812.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,5318.0,5035.0,-13066.0,10635.0,106.0,6507.0,6653.0,5725.0,7619.0,15230.0,19938.0,10965.0,32743.0,17491.0,14591.0,15695.0,8453.0,28286.0,65753.0,20701.0,2236.0,16274.0,6570.0,11293.0,11953.0,18397.0,11698.0,11505.0,-10068.0,14878.0,5632.0,2893.0,7555.0,6623.0,6419.0,0,1,0,0
Mute Swan,Cygnus olor,Aves,0.0,8812.0,50890.0,22507.0,16080.0,6872.0,11788.0,12392.0,13959.0,15477.0,20451.0,6130.0,3777.0,2166.0,14222.0,2292.0,9042.0,1189.0,5313.0,40031.0,21888.0,19604.0,22928.0,13670.0,18126.0,17203.0,23515.0,16734.0,36787.0,17711.0,18235.0,8507.0,8180.0,12487.0,8753.0,8383.0,0,0,0,1
Kakapo,Strigops habroptila,Aves,0.0,12813.0,51950.0,32773.0,18314.0,6793.0,15595.0,12166.0,12322.0,31450.0,20550.0,7231.0,3156.0,2329.0,13313.0,-10229.0,2091.0,381.0,1247.0,21748.0,1331.0,364.0,4994.0,5535.0,-53584.0,11127.0,18111.0,10651.0,16641.0,32592.0,22154.0,9669.0,8742.0,12576.0,9484.0,9351.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,4.0,13111.0,51155.0,22262.0,15652.0,6297.0,10569.0,27291.0,11632.0,15911.0,18631.0,16910.0,67089.0,30876.0,21092.0,9145.0,17518.0,8875.0,16011.0,83268.0,-49335.0,135.0,14475.0,6602.0,11317.0,10380.0,21682.0,8976.0,46225.0,26130.0,22778.0,8727.0,8584.0,14419.0,8450.0,14730.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,13648.0,50275.0,25119.0,17359.0,6775.0,23014.0,11373.0,17086.0,17032.0,21546.0,7667.0,3472.0,-18004.0,13518.0,305.0,9510.0,117.0,6261.0,50347.0,56180.0,8425.0,22527.0,15778.0,18208.0,17289.0,21965.0,15290.0,22083.0,37962.0,22623.0,8977.0,8266.0,17404.0,22521.0,9147.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,3859.0,3266.0,-23377.0,10870.0,333.0,1069.0,5818.0,5977.0,7568.0,14194.0,10013.0,517.0,-31113.0,12917.0,1632.0,6903.0,-36.0,6006.0,69292.0,19616.0,1859.0,9021.0,3033.0,8383.0,9342.0,17392.0,8051.0,8231.0,-19636.0,14085.0,5540.0,2727.0,5965.0,6390.0,4879.0,0,0,1,0
Southern Cassowary,Casuarius casuarius,Aves,0.0,4104.0,4782.0,16192.0,11464.0,4531.0,4875.0,13811.0,2567.0,4704.0,15355.0,14831.0,12930.0,27983.0,18242.0,11340.0,11907.0,4320.0,14219.0,43364.0,21798.0,4017.0,19121.0,8726.0,13956.0,11938.0,18781.0,11510.0,24309.0,4905.0,16849.0,8046.0,7803.0,10513.0,9827.0,7532.0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,0.0,5280.0,33148.0,-15187.0,12683.0,5114.0,2249.0,13149.0,-9904.0,7843.0,4960.0,6591.0,50958.0,-17699.0,23323.0,-6391.0,2961.0,3143.0,12147.0,37416.0,25131.0,7079.0,27196.0,12535.0,17346.0,16715.0,24764.0,17120.0,26355.0,5914.0,20575.0,9322.0,5853.0,11192.0,12565.0,7415.0,0,0,0,1
Bar-Headed Goose,Anser indicus,Aves,0.0,4124.0,20418.0,-13048.0,11016.0,3483.0,4992.0,11319.0,-5132.0,6183.0,15027.0,7404.0,41996.0,-30333.0,19962.0,-8130.0,6163.0,2475.0,9428.0,44917.0,19752.0,4586.0,17957.0,8825.0,13287.0,10342.0,17460.0,11804.0,18447.0,161.0,15915.0,4066.0,2973.0,6419.0,5539.0,6314.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,6721.0,40203.0,-917.0,16225.0,7454.0,8125.0,22385.0,7532.0,15870.0,20509.0,16754.0,53021.0,2317.0,21004.0,18495.0,12789.0,5253.0,10851.0,47792.0,20720.0,5454.0,21217.0,12602.0,15592.0,15490.0,23224.0,13598.0,26515.0,6399.0,17880.0,9897.0,8526.0,10848.0,9882.0,7545.0,0,0,0,1
Great Bustard,Otis tarda,Aves,0.0,8432.0,40475.0,-2241.0,15271.0,7097.0,9460.0,22776.0,5676.0,16083.0,16702.0,9497.0,3022.0,20314.0,13414.0,3214.0,9640.0,5462.0,9238.0,44711.0,18851.0,4470.0,19094.0,9298.0,14564.0,12528.0,18553.0,13136.0,23635.0,4983.0,17947.0,8151.0,9579.0,10922.0,9683.0,8874.0,0,0,0,1
Merlin,Falco columbarius,Aves,0.0,4182.0,10169.0,33460.0,-13919.0,1990.0,6161.0,13250.0,-6142.0,7843.0,15660.0,13493.0,13017.0,29722.0,28406.0,3160.0,12595.0,4476.0,10353.0,46347.0,18440.0,-20335.0,30432.0,9264.0,14457.0,12367.0,18413.0,11910.0,25630.0,4985.0,17242.0,8733.0,8114.0,10783.0,9744.0,7793.0,0,0,0,1
California Condor,Gymnogyps californianus,Aves,0.0,4317.0,29950.0,-13303.0,11246.0,3707.0,5306.0,12040.0,-5079.0,9029.0,15198.0,8132.0,3419.0,19550.0,13894.0,6195.0,8179.0,2307.0,9386.0,47926.0,20685.0,5576.0,22052.0,12021.0,16146.0,14579.0,20949.0,14136.0,25952.0,5177.0,18724.0,8021.0,8018.0,10775.0,9891.0,9153.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,4339.0,8901.0,5987.0,11127.0,3697.0,5411.0,12583.0,-5216.0,8973.0,15241.0,8018.0,3340.0,20338.0,23254.0,-3092.0,4992.0,5749.0,9465.0,47312.0,19948.0,5725.0,21674.0,11947.0,16064.0,14518.0,20919.0,14137.0,20420.0,166.0,16774.0,3904.0,4494.0,5487.0,5917.0,6950.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,0.0,7543.0,21286.0,18229.0,14800.0,7010.0,9565.0,22790.0,6667.0,16007.0,18098.0,9985.0,3522.0,21185.0,13934.0,6334.0,8246.0,2337.0,9391.0,47575.0,22366.0,6001.0,22584.0,12418.0,16324.0,14992.0,21218.0,12099.0,26034.0,5073.0,18896.0,7430.0,8826.0,11044.0,9890.0,9331.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,0.0,6878.0,21336.0,18288.0,14751.0,7156.0,9539.0,22765.0,6652.0,16078.0,18278.0,7749.0,3363.0,19661.0,13944.0,6430.0,8262.0,2336.0,9502.0,46643.0,21775.0,6883.0,23686.0,12682.0,16894.0,15717.0,21562.0,12154.0,24542.0,5068.0,18959.0,8087.0,8936.0,11087.0,9984.0,9261.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,0.0,6959.0,21528.0,18454.0,15402.0,7588.0,8016.0,19852.0,11484.0,9893.0,18269.0,9507.0,3475.0,20806.0,14372.0,6515.0,8656.0,2438.0,9722.0,46576.0,-591.0,136.0,63779.0,2952.0,17572.0,15719.0,21838.0,14569.0,28518.0,890.0,18265.0,8484.0,7314.0,11559.0,9732.0,8302.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,0.0,10354.0,32409.0,-13205.0,12397.0,6135.0,5477.0,21951.0,-5116.0,9189.0,15146.0,8236.0,5457.0,20665.0,15166.0,3631.0,16065.0,2326.0,9376.0,49142.0,3143.0,11429.0,23135.0,14636.0,22128.0,12910.0,40371.0,9136.0,28950.0,5170.0,18319.0,7206.0,8163.0,10868.0,9696.0,10391.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,9590.0,37951.0,13338.0,16694.0,7781.0,10284.0,10973.0,10924.0,13303.0,23927.0,15957.0,45043.0,7892.0,19644.0,8845.0,15639.0,8398.0,15827.0,76238.0,24280.0,14383.0,21364.0,14242.0,18454.0,17477.0,22776.0,14757.0,16894.0,-5555.0,18177.0,5490.0,2660.0,6151.0,6413.0,4969.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,10069.0,36472.0,22430.0,16654.0,7861.0,10417.0,11861.0,11761.0,14588.0,24057.0,10266.0,12196.0,4042.0,12839.0,1730.0,7856.0,-36.0,6092.0,67564.0,19192.0,1786.0,8873.0,2958.0,8491.0,9218.0,17365.0,8608.0,8391.0,-5638.0,18213.0,5525.0,2724.0,5996.0,6447.0,4877.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,7965.0,6804.0,21977.0,15013.0,4092.0,5039.0,10088.0,10085.0,12777.0,18038.0,38848.0,10439.0,35466.0,19515.0,5816.0,14750.0,4243.0,14025.0,17136.0,24536.0,5880.0,22338.0,9854.0,11820.0,17884.0,22813.0,13856.0,89781.0,-39158.0,23835.0,6182.0,6295.0,8886.0,6811.0,9213.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,2402.0,7187.0,23938.0,13430.0,5672.0,8017.0,8399.0,11161.0,7644.0,24170.0,27264.0,83089.0,-21483.0,22009.0,4572.0,10048.0,3850.0,15882.0,127061.0,27380.0,7881.0,20154.0,14195.0,17149.0,13811.0,29679.0,18257.0,120421.0,-49331.0,32948.0,351.0,13550.0,8679.0,27689.0,-203.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,9029.0,8976.0,28329.0,18368.0,5840.0,10413.0,12582.0,14710.0,12856.0,28862.0,30269.0,84500.0,-18386.0,27919.0,7557.0,14005.0,11150.0,16048.0,138831.0,33488.0,8763.0,26030.0,14920.0,17581.0,19936.0,27299.0,17507.0,57390.0,-2970.0,29466.0,6867.0,6051.0,9765.0,9518.0,13144.0,0,0,1,0
Cattle+Sheep,Bos taurus+Ovis aries,Mammalia+Mammalia,6.5,3974.9999999999995,4337.5,-17857.0,-2135.5,-4201.0,1071.0,4459.5,5057.0,1736.0000000000002,4696.5,9228.5,3148.0,10751.5,12642.000000000002,105.0,4199.5,-6130.5,123.50000000000003,67951.0,22190.5,15531.5,21291.5,15183.5,18041.0,17101.5,21013.000000000004,17503.0,21113.5,39331.0,24789.0,12294.000000000002,11819.0,13354.500000000002,17024.5,8830.500000000002,82,2,0,0
Two-Humped Camel+Cattle+Sheep,Camelus ferus+Bos taurus+Ovis aries,Mammalia+Mammalia+Mammalia,6.72693259932816,4114.33661598749,4005.951472381558,-20663.24852329203,3471.777596799513,-2353.3147762701187,2634.1117441723686,4493.312957299896,4922.655901197729,1589.4015408340088,7522.49165943358,9168.816726376694,3437.112131544076,-1502.6334311213295,12683.755598276382,926.4960095679404,3569.762036864355,-2755.331450192272,-11487.052579426667,64169.39516479554,-6139.538767528206,9346.905870509647,13399.464993164569,11164.750598497609,14186.776733010523,13291.982455078172,17985.719124962343,13100.961438232347,15426.342128236975,27045.776802770713,15436.1998512892,8889.103279680283,7564.4676277956505,7496.688813542198,11675.92556643459,7047.036701879989,94,3,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,2347.5,3940.0,11674.5,-4783.0,214.00000000000003,2493.5,5248.0,3098.5,7117.0,11273.5,11930.0,34563.50000000001,7539.000000000002,14998.000000000002,13347.000000000002,12395.5,4613.5,10364.5,75268.00000000001,-9322.999999999998,21839.0,13644.5,10140.999999999998,13988.5,13461.500000000002,18508.0,12851.5,12515.0,13443.999999999998,17203.0,4272.500000000001,2502.0,204.49999999999986,5445.0,4341.0,48,2,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,3205.1931850584547,4514.770459081837,14034.093384659254,869.0285143997711,740.5754205873966,3832.7865697177076,5857.399486740804,4222.158397490733,7668.208440262332,12522.82249786142,12503.699458226403,25765.40647276875,15026.009980039922,15813.388651268891,10801.587966923298,13287.108212147134,5404.077131451382,11528.14242942686,74935.63273453095,495.9358426005141,15225.926717992586,14743.882378100941,6905.863416025091,12619.58240661534,12256.802537781581,17760.44140290847,11676.076561163387,15489.169375534642,16031.895067008838,19421.042771599656,6386.834188765327,4482.994582264043,4414.782862845737,6837.301112061591,5636.554034787568,63,3,0,0
Tiger+Lion,Panthera tigris+Panthera leo,Mammalia+Mammalia,7.0,8390.653382513548,22245.940221310964,22459.211152094624,22217.693234972907,6668.537843351399,11284.326691256774,11800.793030971172,11242.326691256774,13641.709142986669,17711.44223041892,9204.0,5328.366543716129,40.326691256774296,12898.366543716129,1965.9043870675264,2439.326691256774,2181.462156648602,8337.055760473118,70298.5098806899,17734.019926229677,2880.6334562838715,16449.274948999566,6629.035834243442,10737.613530054196,10031.326691256774,16827.673308743226,9186.788847905376,13965.56597086278,12337.191225864946,17863.1595746873,4977.095612932474,2333.9800737703226,6458.211152094624,6142.537843351398,4736.693234972902,57,2,0,0
Cat+Tiger+Lion,Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia,7.0,9127.878903182578,23887.76412913324,22842.27967992965,19977.339615289093,6671.972494965352,11783.836951070092,12158.866476765434,14137.768546181369,14236.040962188905,18241.34687371594,9080.611349328507,4672.309679177711,-11436.979838451085,12943.676746152518,1220.3348024201268,4734.872409035095,1826.1263203893031,6597.415507224561,71110.47625076665,-1760.9890838792414,2440.8042786741544,15132.070682502666,6389.549895312101,10406.163393233563,9573.763140927389,16252.668677137477,8648.672739292355,13947.477368854152,9046.208414200733,12358.093920862242,4576.449574236786,-2996.0768405305444,4578.072061034092,5501.429148694522,4407.646049539301,60,3,0,0
Fox+Ermine+American Black Bear+Cat+Tiger+Lion,Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.58408472100603,5296.873342940847,11356.616943426807,17144.828847857872,7617.398609079241,2835.3321170354975,6640.812372286466,8082.851603548392,7723.996244102404,9987.731308809816,14542.400192612065,11294.787519145384,18316.081262681273,5680.231163480847,14799.909338597889,7417.833014248437,10266.765282222663,4140.473240656358,9786.786538205666,73584.72466703026,-301.1290889560901,10710.680055387409,14880.976563489572,6723.519999892618,11837.882203073785,11309.24925936887,17227.950157688334,10606.906119664662,14944.699056930462,13564.801107228284,16926.662574788395,5747.471278665772,1841.654818688086,4472.450750709841,6365.519050302741,5202.547813464521,47,6,0,0
Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion,Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.652463582930273,4730.813023932503,7837.977778465282,-953.2579599351309,5632.959987249175,351.6146571869304,4722.872587393293,6364.600199701425,6383.042029309453,5967.59297463259,11182.08877637548,10277.12127865784,11193.77053784995,2241.9154383620435,13786.942354981877,4310.539843636372,7061.023162707956,839.5682335216623,-396.640228153137,69077.76577084886,-3095.876998112819,10057.864432369806,14171.802046539622,8849.461928066761,12962.258263983553,12258.350086167893,17590.68133852435,11800.768193521895,15175.253444272274,20017.916032819492,16213.203292295195,7251.31735140702,4581.068462689216,5920.102331912344,8907.520781048266,6085.473429883865,92,9,0,0
Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox,Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.033273940512537,5938.905830098806,15267.193491775462,4748.79428656812,8025.023381509248,1905.4775968084596,6575.010934220825,8193.224748018003,7930.035459340313,7866.017605394092,13586.26095762111,9897.286980767341,9450.731723255172,-1734.0055498982315,12642.869062582997,3726.581756052086,7294.92408545251,711.9776451912103,-1194.853695833801,68252.84542957778,2930.5671536680015,11975.367729162646,15823.665811485203,9770.739608663127,14239.34521103283,13220.27233953798,18484.128505402998,13187.452644838011,16398.18356381596,23890.229246140578,21069.16329415162,8244.061253884802,6529.104698828481,7610.413507809261,9473.956757619519,6404.474642096469,78,10,0,0
Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox,Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.916538042848336,5595.465777034979,12853.294680702815,4188.882411264561,8611.243672309129,1843.860972706752,6722.768865972601,7933.33628139645,7606.706214970659,7987.067766151577,13548.33340879204,11244.798326198323,8488.268745953934,4022.51903444092,12786.717775288822,3286.8948024774922,6354.966130380737,835.4444994462652,654.4168377519454,77534.41673629105,7382.078520274571,13388.3137499345,17130.815859130962,10204.664705330135,15048.339512971612,14024.466701268197,18815.740216257884,13939.070532432788,17496.823488592134,21999.28470775156,21210.977460664883,6050.62790516669,5722.857664151057,7603.7558636502035,8817.034762489837,6094.183509920881,98,11,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,4.51729047908524,9990.728031529896,54022.74857971925,24196.885273492557,15281.987184958754,6791.992880532641,13100.745731932304,13364.222338364487,17623.807160700537,14699.406428137214,18947.515866585614,13355.604143163915,26469.87200758382,8095.002804434302,15588.61777323485,7950.967034650323,8974.846813917933,4212.805118309362,9319.580747187616,103812.93632267468,-9584.869591396524,1707.6847347637135,13435.293753654867,8845.467866539371,13892.833409280742,12256.240652447643,18332.886908368888,12864.610668218369,14878.759966050062,-1869.984135822867,11743.24062836284,4761.242066707193,1791.962772603827,2981.0844220466493,3827.511796254139,3829.2780715588356,67,2,0,0
