Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,9990.728031529896,54022.74857971925,24196.885273492557,15281.987184958754,6791.992880532641,13100.745731932304,13364.222338364487,17623.807160700537,14699.406428137214,18947.515866585614,13355.604143163915,26469.87200758382,8095.002804434302,15588.61777323485,7950.967034650323,8974.846813917933,4212.805118309362,9319.580747187616,103812.93632267468,-9584.869591396524,1707.6847347637135,13435.293753654867,8845.467866539371,13892.833409280742,12256.240652447643,18332.886908368888,12864.610668218369,14878.759966050062,-1869.984135822867,11743.24062836284,4761.242066707193,1791.962772603827,2981.0844220466493,3827.511796254139,3829.2780715588356,67,2,0,0
Common Marmoset+Human+Chimpanzee,Callithrix jacchus+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,10.646534296897638,7259.8759067785895,29655.244765990352,1233.4261652109021,12894.76811356109,4311.799471812204,9656.14917912332,9712.477094608814,10841.261708603568,8726.143534771802,13764.221191959981,12723.58585056852,14434.637394965017,-6641.238976892709,14211.866452624094,4980.181852085501,7044.924336522822,2226.6427698159455,6046.702772571727,97125.20802104025,6604.5266423271305,9065.942939766146,17466.78464183811,10483.92922971454,15928.276187116157,14649.54920420548,20565.213306239337,16220.356673565771,20585.424877239988,16514.550539710977,22651.31941593422,8025.622523821245,4876.254477845896,7529.978754092547,6673.152965497812,6647.377577723114,106,3,0,0
House Mouse+Common Marmoset+Human+Chimpanzee,Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,18.93820649616023,8204.19640977559,38650.10031148861,10406.432310964008,13756.018708289701,5428.382971470055,11395.096664225302,10584.134774540054,13804.195366473203,11248.269795907416,15913.148641869333,12296.186696823626,9836.416462456156,-10024.047160794635,13326.780148424501,3678.9515343029166,5165.419181248028,1392.6358800943271,4658.277283430585,87526.06731328707,4061.976882462716,6092.639200741077,11676.170315434292,8411.626922774461,11303.64713385434,12698.227947536165,18573.763214620398,12703.622054766889,18067.767857399078,2084.2474341844254,18964.084244011676,6475.283569512695,3925.4516118716574,3128.6909617324377,4608.038171417047,5260.376713303266,103,4,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,18.66973766063041,6329.19648797625,21298.148123076422,8433.642011620112,11948.22517160253,3352.6978736994274,8116.608677844318,8714.939616910904,10076.004861446898,9238.70561661681,14112.073892582901,12152.934967123882,7319.188475909482,-660.2429508357594,13245.355978114423,2619.3433563100866,5777.714478578508,1809.2924940423813,6103.475364277813,85406.49019736362,6239.407508554306,8439.52161420236,14993.551504728297,9327.588513387149,13015.504081758441,13203.908289135217,18443.230252783316,12991.498281784967,18470.954859112706,12621.727714505374,19373.35245594491,5926.0122112437575,3724.5827083445038,5936.033652697883,6156.466340280338,5574.895116521903,31,10,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee+Linne'S Two-Toed Sloth,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Choloepus didactylus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.797319461095311,7071.653215490084,22378.18334141135,11310.685205880825,12631.54296236782,3949.181183169339,12474.536881380283,9158.255537050682,10369.32084284599,9999.076777916973,14712.791300735586,11608.999476163732,6635.006467819168,-5970.054256298681,13162.656271665399,2420.3375375846126,5198.577135168626,1741.8780624602307,6496.755929433814,89168.40906002632,9401.002296808498,10351.266299412191,16223.886513519737,9742.581355610128,13982.293908801457,13811.511322762435,18846.544902685702,13876.246657678807,17508.382894154915,10149.14669465091,18963.462120370958,5753.896613023738,3673.5591296515,6240.896532697203,6237.438586531676,5459.781903785502,111,11,0,0
Short-Beaked Echidna+Platypus,Tachyglossus aculeatus+Ornithorhynchus anatinus,Mammalia+Mammalia,16.0,6919.499999999999,16181.499999999998,5804.999999999999,17948.5,3624.5,9668.5,10441.5,9527.5,11966.499999999998,18675.5,18447.5,8322.0,29317.5,15577.500000000002,8524.0,9088.0,5452.5,18064.500000000004,61050.00000000001,20756.5,2823.0,16400.5,6892.499999999999,11289.0,11888.999999999998,18440.5,11778.500000000002,14313.5,3178.0000000000005,17346.5,6171.499999999999,3201.5,7681.0,6761.999999999999,7615.5,29,2,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee+Linne'S Two-Toed Sloth+Short-Beaked Echidna+Platypus,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Choloepus didactylus+Tachyglossus aculeatus+Ornithorhynchus anatinus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.876419064530724,7012.272778316742,19959.81995255646,9161.995850805659,14706.577869185474,3822.468707613345,11379.432212023232,9659.063994924949,10040.785625835848,10766.897889393173,16259.307253060359,14277.843176952858,7293.385018195749,7801.527183947494,14105.09101306694,4802.397911460571,6716.492016702814,3190.0127740822936,11011.269131189405,78194.71115147295,13832.682664288666,7413.229514737324,16292.812996631685,8630.28756457455,12931.18914426659,13061.217860684585,18688.07882127019,13057.564560092764,16261.524309132681,7428.535519957451,18332.414545785734,5916.873593850899,3489.329848659407,6802.921943647902,6442.157796412881,6301.0883629581795,28,13,0,0
Mute Swan+Bar-Headed Goose,Cygnus olor+Anser indicus,Aves+Aves,6.999999999999999,6468.000000000001,35654.0,4729.5,13548.0,5177.5,8390.0,11855.500000000002,4413.5,10830.0,17739.0,6767.0,22886.5,-14083.499999999998,17092.0,-2919.0000000000005,7602.5,1832.0,7370.5,42474.0,20820.0,12095.0,20442.5,11247.5,15706.5,13772.5,20487.5,14269.0,27617.0,8936.0,17075.0,6286.5,5576.5,9453.0,7146.0,7348.500000000001,211,0,0,2
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck,Cygnus olor+Anser indicus+Anas zonorhyncha,Aves+Aves+Aves,6.589381219353784,6571.886551503494,37521.904833159635,2410.9410550811444,14647.22647578992,6112.2736541411105,8281.186023128754,16179.110450814327,5694.0146674452235,12899.518654456926,18876.414022390018,10867.849762313754,35260.29164538338,-7349.146688011742,18698.340669887995,5873.990568758058,9732.174305821596,3236.7268485907034,8799.658666039153,44657.67067547658,20778.938121935378,9368.080677728483,20760.524245610497,11803.683138385299,15659.48414961601,14477.737755759877,21611.158293238368,13993.47479818639,27164.498103727874,7894.260153500552,17405.548118420204,7769.039107523162,6787.620093516013,10025.813199001472,8269.452983848047,7429.186590396982,205,0,0,3
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus,Aves+Aves+Aves+Aves,5.904465242615429,6015.170687188752,35637.047214052895,-5172.583174068552,13800.777506329983,5682.085121300499,5681.7211926719665,14873.33746584826,-1027.676341006547,10720.500574375927,12879.37933569856,9024.816324741536,42024.94390082372,-11809.234553628603,20691.25654406302,588.6078721491583,6814.255428421586,3196.336906097731,10242.136739461095,41536.99963475032,22654.382902421923,8381.641484205893,23533.779716620666,12118.831320884723,16386.258592955743,15441.846703678988,22969.82016163899,15340.796030073045,26815.659085353134,7040.901751680295,18771.367850504404,8438.260382793864,6384.861946864399,10528.360959185804,10120.543675223806,7423.073127937494,204,0,0,4
