Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant)-(Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin),(Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus)-(Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli),(Aves+Aves+Aves+Aves)-(Aves+Aves+Aves+Aves+Aves+Aves),-1.27308871807469,-2141.905016313751,9298.46806807481,-18773.03110759513,-672.3580997911322,-684.1422116413778,-3297.5848659338917,-3646.173385212569,-5473.668217028928,-4684.662760528428,-4727.5566184660765,592.521994528337,38320.00154580265,-29142.48767393083,4958.995601923903,-792.0606534687511,-1112.4098213715115,589.4064557088823,2198.420959661309,-1398.6875776078741,11315.77583317947,3345.3804206828845,-2727.282965556209,2119.5773930699397,11145.731565227195,1312.2147950383678,-900.9891908431964,3208.9306954263175,2786.2824257669927,-1339.9295033342632,-139.1159298330349,993.0151060336821,-1332.577789691757,129.04159045103552,1040.688074786598,-1487.1352505761806
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin)-(American Alligator),(Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli)-(Alligator mississippiensis),(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves)-(Reptilia),-32.34017554473056,-5824.977043262271,-21034.994465030875,-16296.017734570052,-1452.293591332531,-208.9941325708869,-2930.729296969832,-10254.285686684798,-9411.995597281937,-2410.9577298231943,-2946.628840556241,-8236.743579067814,-47800.38687140416,-25394.179946334567,-3343.054514265081,-8086.440345948969,-10043.720651100573,-6028.374461222176,-7073.2480230424735,-40901.119829532894,65275.41599456484,6261.733531823195,10676.953127710745,4259.226655901268,-1543.8162855139362,4283.272893118388,1822.4022973084684,4460.847523464501,-21062.52035884297,-18294.080524667974,-3924.090769830218,-877.9233072332518,-1408.4823072076679,-3967.203032607418,1053.0742768789387,-6424.567853372862
(Green Sea Turtle)-(Snapping Turtle),(Chelonia mydas)-(Chelydra serpentina),(Reptilia)-(Reptilia),-17.0,-6210.0,-33206.0,-45807.0,-5784.0,-7528.0,-9348.0,-6043.0,-5784.0,-7020.0,-9863.0,-253.0,-11679.0,-35155.0,78.0,-98.0,-953.0,0.0,-86.0,1728.0,424.0,73.0,148.0,75.0,-108.0,124.0,27.0,-557.0,-160.0,-13998.0,-4128.0,15.0,3.0,-31.0,-57.0,2.0
(Chinese Soft-Shelled Turtle)-(Green Sea Turtle+Snapping Turtle),(Pelodiscus sinensis)-(Chelonia mydas+Chelydra serpentina),(Reptilia)-(Reptilia+Reptilia),-14.5,6684.0,30406.000000000004,25592.5,3597.000000000002,2678.0,17271.0,2533.5,8217.0,5954.0,2420.5,-2472.500000000002,-2884.5,-4468.500000000002,639.9999999999982,-1375.9999999999998,2130.499999999999,153.0,212.0,-18081.0,36776.0,6602.5,13580.0,12782.5,9771.0,8009.0,4586.5,6960.5,13772.0,50599.0,6474.0,3444.5,5540.5,11423.5,16102.5,4268.999999999999
(West African Mud Turtle)-(Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle),(Pelusios castaneus)-(Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina),(Reptilia)-(Reptilia+Reptilia+Reptilia),-6.589434880007627,-98.56670772614052,5687.748755966339,3379.352563213459,1465.7722250612042,2592.3797661145118,-2499.0944956819512,1100.7816047240904,-1294.4561097225742,-202.0003258230754,3814.843250141963,6825.35325925387,39862.29483369779,23248.973119909373,6505.119884358957,7724.892248628242,7391.054552541809,8371.633347354564,9691.583461693903,15180.27089204015,-10114.823645023418,9869.154744500025,6881.450046241624,6036.031127841205,6034.094359486518,4932.329927860763,3527.9271087693087,3590.2249298133156,2969.186011549311,-13543.426517689251,-610.9654197814234,-1446.564934883706,-2323.9473136081206,-4486.006251602268,-6569.284472046704,-1649.1518963618928
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+American Alligator)-(West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle),(Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Alligator mississippiensis)-(Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina),(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia)-(Reptilia+Reptilia+Reptilia+Reptilia),0.5457011939270053,30.04164539940757,4671.113103319563,1621.2687108165574,-907.8490759264332,140.44597173860257,-3122.4232518822228,11031.421088549852,-5697.830611676136,1054.4381624141915,-4457.054038222166,711.0129127086038,20811.961456140543,23724.940248557254,3867.1847254175063,752.683400748188,955.979013404025,2575.542917417509,2557.930435854256,-6784.10082576923,-42056.96337082705,-3914.705118634855,4026.245523175654,-1067.5849883977316,-3977.5177600484512,-1254.3641629105732,2355.2874459744016,-738.5722958704482,18949.566481023867,11801.319656148331,1882.2120365327537,1745.8532563710914,3529.5631825256487,2912.013458218007,-1771.719548318748,4872.415789431632
(Desert Horned Lizard)-(Chinese Crocodile Lizard),(Phrynosoma platyrhinos)-(Shinisaurus crocodilurus),(Reptilia)-(Reptilia),-30.0,-6627.0,-1789.0,-4391.0,-4938.0,-168.0,-2396.0,-4183.0,-3549.0,-5212.0,-4692.0,-3005.0,-1411.0,-3097.0,-5910.0,-2985.0,-3957.0,-7300.0,-166.0,-11770.0,-6108.0,-882.0,-5876.0,-725.0,-432.0,-6125.0,2380.0,750.0,63031.0,-46361.0,3482.0,-6516.0,7499.0,-1086.0,18171.0,-13347.0
(Regal Horned Lizard)-(Desert Horned Lizard+Chinese Crocodile Lizard),(Sphenodon punctatus)-(Phrynosoma platyrhinos+Shinisaurus crocodilurus),(Reptilia)-(Reptilia+Reptilia),2.0000000000000036,2249.500000000001,-1277.5,-4156.5,-885.9999999999964,-1663.999999999999,-4176.0,-402.4999999999982,-2850.5,2527.0,-8477.999999999996,10081.500000000004,-73355.49999999999,55400.5,-5448.999999999996,-248.4999999999991,2723.5,-3257.0,-1939.9999999999982,-115810.0,-5897.999999999996,-2442.0,-753.9999999999964,-4703.5,-5544.999999999996,1010.5,-5675.999999999996,-4025.9999999999964,875.5000000000146,-13007.500000000004,-7371.999999999996,2573.0,-3505.5,-335.9999999999982,-11792.499999999996,2742.5
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+American Alligator+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle)-(Regal Horned Lizard+Desert Horned Lizard+Chinese Crocodile Lizard),(Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Alligator mississippiensis+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina)-(Sphenodon punctatus+Phrynosoma platyrhinos+Shinisaurus crocodilurus),(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia)-(Reptilia+Reptilia+Reptilia),-9.084105937339572,3047.716805048637,28969.762458651734,-12554.889481189048,-304.93951846220443,1022.6166965761004,2824.2860263910943,5613.147419324643,-2936.709077284102,2714.0661042520205,-4042.298381879009,-21114.68800930236,-25212.27385145876,2055.4564220853094,-5501.551979717056,-1936.2389275360952,-1974.6473342055415,-2095.726696273822,-4562.566124418259,-23665.580551549072,-18722.86591897213,-1630.7619073137448,-3977.593524319116,-3036.343149297807,-2796.797352392563,-3778.488434552579,-4578.736654389308,-4300.7227872694475,-64557.96555136419,41087.39368217936,-8665.749920612318,2720.227830506735,-2330.9950246170465,1595.6867101114349,-3915.7193914861837,1024.1443888448102
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee+Linne'S Two-Toed Sloth+Short-Beaked Echidna+Platypus)-(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin+American Alligator+West African Mud Turtle+Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle+Regal Horned Lizard+Desert Horned Lizard+Chinese Crocodile Lizard),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Choloepus didactylus+Tachyglossus aculeatus+Ornithorhynchus anatinus)-(Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli+Alligator mississippiensis+Pelusios castaneus+Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina+Sphenodon punctatus+Phrynosoma platyrhinos+Shinisaurus crocodilurus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia+Reptilia),-7.2165146363377115,-1529.3918139939897,-5831.195809774603,-7393.733704273487,-642.644410967674,-1904.6507583047714,2074.6526484469505,-4200.204016695068,104.40869722183379,-2211.465038761069,-4288.578138970663,-5277.669188441218,-31004.761305710224,4061.800545010786,-5196.417995383468,56.425519268537755,-5167.966324733125,-1675.7266574957366,-1299.570313909102,6923.071154734149,-2439.573596992286,1103.7195075310656,-3992.1761816744147,-2116.818964726237,-434.1665553704206,-1843.3685886712174,-4627.291545991684,-492.29006067732007,-32382.619668692223,12984.780520365122,-4444.550432427939,-442.94923831779033,-3428.505541937931,-3287.225205205681,-4933.846407366669,-1921.6613493219056
