Common Name,Species,Class,Cervical,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),8.881784197001252e-16,856.5204521665592,9013.324438724752,6771.797038637774,-5453.734311663926,1373.7918397873664,3220.1629773251243,-277.5153112032385,1834.2181366761652,-1753.030764410174,1732.582010260845,-7589.63763963135,-1593.0461207856415,-39006.33143193624,-2908.614358030769,-6516.143255574529,-3838.765449318872,-4347.348573938227,-15030.792873637443,22727.687537800208,-10129.469730648656,9204.4598212669,-1092.342271712636,3066.2092005692584,3515.632252041978,2229.0619016553865,752.0045516855316,2619.361927951393,5514.583436301684,11357.295127591373,3399.3464417566465,233.0996212459304,2069.3599425086604,218.73537838409538,1000.7974029895695,-1577.3796735918713
(Mute Swan)-(Bar-Headed Goose),(Cygnus olor)-(Anser indicus),(Aves)-(Aves),6.333333333333329,4688.0,30472.0,35555.0,5064.0,3389.0,6796.0,1073.0,19091.0,9294.0,5424.0,-1274.0,-38219.0,32499.0,-5740.0,10422.0,2879.0,-1286.0,-4115.0,-4886.0,2136.0,15018.0,4971.0,4845.0,4839.0,6861.0,6055.0,4930.0,18340.0,17550.0,2320.0,4441.0,5207.0,6068.0,3214.0,2069.0
(Mute Swan+Bar-Headed Goose)-(Eastern Spot-Billed Duck),(Cygnus olor+Anser indicus)-(Anas zonorhyncha),(Aves+Aves)-(Aves),5.166666666666664,-252.9999999999991,-4549.0,5646.5,-2677.0,-2276.5,265.0,-10529.499999999998,-3118.5,-5040.0,-2770.0,-9987.0,-30134.5,-16400.5,-3912.0,-21414.0,-5186.5,-3421.0,-3480.5,-5318.0,100.0,6641.0,-774.5,-1354.5,114.5,-1717.5,-2736.5,671.0,1102.0,2537.0,-805.0,-3610.5,-2949.5,-1395.0,-2736.0,-196.4999999999991
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck)-(Golden Pheasant),(Cygnus olor+Anser indicus+Anas zonorhyncha)-(Chrysolophus pictus),(Aves+Aves+Aves)-(Aves),5.045136299994553,1291.886551503494,4373.904833159635,17597.941055081144,1964.2264757899193,998.2736541411105,6032.186023128754,3030.110450814327,15598.014667445223,5056.518654456926,13916.414022390018,4276.849762313754,-15697.708354616618,10349.853311988258,-4624.659330112005,12264.990568758058,6771.174305821596,93.72684859070341,-3347.341333960847,7241.670675476576,-4352.061878064622,2289.0806777284834,-6435.475754389503,-731.3168616147013,-1686.5158503839903,-2237.2622442401225,-3152.841706761632,-3126.5252018136107,809.498103727874,1980.2601535005524,-3169.4518815797965,-1552.9608924768381,934.6200935160132,-1166.1868009985283,-4295.547016151953,14.186590396981956
(Merlin)-(Kakapo),(Falco columbarius)-(Strigops habroptila),(Aves)-(Aves),-2.0,-8631.0,-41781.0,687.0,-32233.0,-4803.0,-9434.0,1084.0,-18464.0,-23607.0,-4890.0,6262.0,9861.0,27393.0,15093.0,13389.0,10504.0,4095.0,9106.0,24599.0,17109.0,-20699.0,25438.0,3729.0,68041.0,1240.0,302.0,1259.0,8989.0,-27607.0,-4912.0,-936.0,-628.0,-1793.0,260.0,-1558.0
(California Condor)-(Steller'S Sea Eagle),(Gymnogyps californianus)-(Haliaeetus pelagicus),(Aves)-(Aves),0.0,-22.0,21049.0,-19290.0,119.0,10.0,-105.0,-543.0,137.0,56.0,-43.0,114.0,79.0,-788.0,-9360.0,9287.0,3187.0,-3442.0,-79.0,614.0,737.0,-149.0,378.0,74.0,82.0,61.0,30.0,-1.0,5532.0,5011.0,1950.0,4117.0,3524.0,5288.0,3974.0,2203.0
(Merlin+Kakapo)-(California Condor+Steller'S Sea Eagle),(Falco columbarius+Strigops habroptila)-(Gymnogyps californianus+Haliaeetus pelagicus),(Aves+Aves)-(Aves+Aves),1.7763568394002505e-15,4169.500000000001,11634.0,36774.5,-8988.999999999998,689.5,5519.5,396.4999999999982,8237.5,10645.500000000004,2885.5,2287.000000000002,4707.0,-3918.5,2285.5,-5086.0,757.5000000000009,-1599.5,-3625.5,-13571.5,-10430.999999999998,-15636.0,-4150.0,-4584.5,-35668.5,-2801.5,-2672.0000000000036,-2855.999999999998,-2050.5,16117.0,1949.0,3238.499999999999,2172.0,3548.500000000002,1709.9999999999982,520.5
(European Golden-Plover)-(Atlantic Puffin),(Pluvialis apricaria)-(Fratercula arctica),(Aves)-(Aves),-1.0,665.0,-50.0,-59.0,49.0,-146.0,26.0,25.0,15.0,-71.0,-180.0,2236.0,159.0,1524.0,-10.0,-96.0,-16.0,1.0,-111.0,932.0,591.0,-882.0,-1102.0,-264.0,-570.0,-725.0,-344.0,-55.0,1492.0,5.0,-63.0,-657.0,-110.0,-43.0,-94.0,70.0
(Eurasian Coot)-(Royal Penguin),(Fulica atra)-(Eudyptes schlegeli),(Aves)-(Aves),2.0,-3395.0,-10881.0,31659.0,3005.0,1453.0,2539.0,-2099.0,16600.0,704.0,3123.0,1271.0,-1982.0,141.0,-794.0,2884.0,-7409.0,112.0,346.0,-2566.0,-3734.0,-11293.0,40644.0,-11684.0,-4556.0,2809.0,-18533.0,5433.0,-432.0,-4280.0,-54.0,1278.0,-849.0,691.0,36.0,-2089.0
(European Golden-Plover+Atlantic Puffin)-(Eurasian Coot+Royal Penguin),(Pluvialis apricaria+Fratercula arctica)-(Fulica atra+Eudyptes schlegeli),(Aves+Aves)-(Aves+Aves),0.5,-1446.000000000001,-5657.5,15634.0,876.0,221.5,2805.500000000001,1876.0,3475.4999999999995,6501.499999999998,1480.4999999999964,-4.500000000001819,-1023.5,-312.5,-830.0,1309.0,-4106.5,-45.5,-102.5,-750.0000000000146,20794.5,659.5,-20322.0,3756.0,-3241.0,1040.0000000000018,-9714.5,274.0,-3446.0,2040.5000000000005,635.5,-86.5,1142.5,-147.99999999999818,223.00000000000182,-50.49999999999818
