Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),-0.8275314991313601,331.3229239647183,2306.0199637669266,3904.0867300269747,1513.0379047243007,727.9173949234226,654.0602086259488,783.7757711147896,786.6721313617493,899.423298118397,712.8149450642753,-308.35892486382306,-546.7914380510463,-708.6772875686186,-395.87038089696443,-1255.1584013074905,-1366.8751536902241,-620.7520657859116,-2114.6533045927995,-972.9701601036967,11.481999550447622,121.44024749752711,26.170683660029265,66.71972711746591,-0.8275314991313601,-13.240503986101762,8.999405053053541,16.654071420018624,581.0305538276062,2740.3705593734994,510.69037640144063,111.6133109453422,63.823366870506156,26.067242222637844,28.756719594814765,247.5353596776681
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),-0.012642839749861405,9.491038119707577,386.53772527682486,343.434530751209,-331.6620142563,20.25301585829949,175.03542676178992,-80.0464326404545,52.51123798915894,-122.72424699170878,-247.1864902813454,-426.5731022792592,-105.23155800589545,-2201.1728212185203,-150.6335163863428,-380.73525369818816,-242.61505453483048,-231.46178109727856,-721.574628437079,1753.9747115737491,-708.3350898769894,469.59942445440475,-11.016824897452532,177.78284016696492,168.00272720938045,119.9227252025886,25.328335239514413,130.85358353676128,199.290926838164,434.84732678105456,100.86312716515671,-26.049332259882256,29.44618146811575,-89.83100922625302,-32.721177500714504,-134.4697353954277
(Mute Swan)-(Bar-Headed Goose),(Cygnus olor)-(Anser indicus),(Aves)-(Aves),0.6197269155297138,726.3199450008246,4721.07964250536,5508.597620414744,784.5742750606178,525.06362918255,1052.916029484984,166.24174509084574,2957.8016360944416,1439.9354882332902,840.349697458292,-197.38302259621386,-5921.335746157533,5035.126256950042,-889.3081237851394,1614.6984784126694,446.04844745251154,-199.242203342803,-637.5440643511931,-756.9964273195454,330.9341728928672,2326.7647043563106,770.1656242745519,750.6442264353659,749.7146360620713,1062.9865918623418,938.1116183831043,763.8134233903723,2841.447907703738,2719.0518418866195,359.44161100723403,688.0518079668648,806.729512290805,940.1257308585759,497.9505766281251,320.5537470577445
(Mute Swan+Bar-Headed Goose)-(Eastern Spot-Billed Duck),(Cygnus olor+Anser indicus)-(Anas zonorhyncha),(Aves+Aves)-(Aves),0.13101122221543474,-33.1458392205049,-595.9700498580131,739.7548662394529,-350.7170418707191,-298.24704737343745,34.71797388709023,-1379.482664317421,-408.55849647883355,-660.2965599657916,-362.9010855367545,-1308.4090762655478,-3947.9576758510216,-2148.6495499442394,-512.5159013067811,-2805.4743125213217,-679.4897040203529,-448.1893911990026,-455.984558920821,-696.7176797416826,13.101122221543484,870.0455267327028,-101.46819160585429,-177.4547004908065,15.00078494366729,-225.01177415500936,-358.5122095925375,87.90853010655678,144.3743668814092,332.3754707605582,-105.46403388342505,-473.01601780882754,-386.4175999244251,-182.7606549905316,-358.4467039814297,-25.743705165332827
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck)-(Golden Pheasant),(Cygnus olor+Anser indicus+Anas zonorhyncha)-(Chrysolophus pictus),(Aves+Aves+Aves)-(Aves),0.1313083180458694,106.73049871129919,361.35451957108415,1453.8714896559377,162.27653356946394,82.4733757254718,498.3550775558323,250.3356035321791,1288.6455721867508,417.7493426997066,1149.7184541119411,353.3362178852388,-1296.8818657976626,855.063476194342,-382.07085296946224,1013.2844548690916,559.4073331597178,7.743337277628708,-276.543950020073,598.2778610065247,-359.54994200356776,189.11468815897726,-531.6732617977162,-60.418473483821344,-139.33319267586424,-184.83365648308083,-260.47516891388784,-258.3010045538891,66.87749494425582,163.601171879415,-261.84743510859465,-128.29941633829984,77.21457319179731,-96.34568818465706,-354.8809101992507,1.172039345343953
(Kakapo)-(Steller'S Sea Eagle),(Strigops habroptila)-(Haliaeetus pelagicus),(Aves)-(Aves),-0.08426407945417991,714.0538092947206,3627.484356422991,2257.097632259663,605.605939037191,260.881589990141,858.1453851613683,-35.138121132393024,1477.8234254674073,1894.0037138916018,447.35799782224115,-66.3158305304396,-15.504590619569104,-1517.511806890326,-837.6692138540025,-601.392735064482,-244.45009449657593,-452.3295785100378,-692.4822049544505,-2154.126927166655,-1568.7443671984674,-451.7397299538585,-1405.524845295721,-540.3012774602016,-5868.824605824722,-285.7394934291241,-236.61353510733719,-293.7445809772712,-318.43395625734587,2732.347040381238,453.34074746348796,485.7824180533472,357.9538095213563,597.3480592506814,300.56997141305976,202.31805476948597
(European Golden-Plover)-(Atlantic Puffin),(Pluvialis apricaria)-(Fratercula arctica),(Aves)-(Aves),0.042104744374655924,55.99931001829238,-4.210474437465592,-4.968359836209399,4.126264948716281,-12.294585357399528,2.189446707482108,2.105237218732796,1.2631423312396777,-5.978873701201141,-15.157707974876132,188.29241684346127,13.389308711140583,128.33526085395124,-0.8420948874931184,-8.084110919933938,-1.3473518199889896,0.08420948874931185,-9.347253251173615,78.48324351435863,49.7678078508433,-74.27276907689304,-92.79885660174165,-22.231305029818326,-47.99940858710775,-61.05187934325109,-28.968064129763274,-4.6315218812121515,125.64055721397327,0.4210474437465592,-5.305197791206647,-55.32563410829788,-9.263043762424303,-3.6210080162204092,-7.915691942435314,5.894664212451829
(Eurasian Coot)-(Royal Penguin),(Fulica atra)-(Eudyptes schlegeli),(Aves)-(Aves),0.04229011333366375,-287.14986953557684,-920.3174463671905,2677.7253960609214,254.16358113531913,122.89506934762686,214.7491955083445,-177.53389577472043,1404.0317626776366,59.54447957379856,264.1440478820638,107.50146809417325,-167.6380092546431,11.925811960093178,-67.15669997385804,243.9293737085725,-626.6548993782294,9.47298538674068,29.264758426895316,-217.03286162836235,-315.8225663758009,-955.1644997541295,3437.678732666859,-988.2353683810545,-385.3475126963441,237.58585670852295,-1567.5253408255805,459.5243714835903,-36.53865792028548,-362.0033701361617,-4.567332240035685,108.09352968084454,-71.80861244056105,58.444936627123305,3.04488816002379,-176.68809350804716
(European Golden-Plover+Atlantic Puffin)-(Eurasian Coot+Royal Penguin),(Pluvialis apricaria+Fratercula arctica)-(Fulica atra+Eudyptes schlegeli),(Aves+Aves)-(Aves+Aves),0.17474103068495364,-168.4503535802955,-659.0649207334171,1821.2675158190445,102.04876192001298,25.803425531144836,326.8239743910919,218.5427823766488,404.87496809703777,757.3858739988176,172.46939728604892,-0.5242230920550731,-119.23162993736676,-36.404381392698696,-96.69003697900773,152.4906727777363,-478.38269500517504,-5.30047793077693,-11.940637096805172,-87.37051534247857,2422.4349083855136,76.82780649115132,-2367.391483719753,437.5515408351242,-377.5571202999567,121.15378127490148,-1131.6811617259887,31.919361605118215,-401.43839449356705,237.70604874176544,74.03195000019207,-10.076732769499,133.09441837170644,-17.24111502758189,25.97816656183,-5.882948033059897
(Kakapo+Steller'S Sea Eagle)-(European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin),(Strigops habroptila+Haliaeetus pelagicus)-(Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli),(Aves+Aves)-(Aves+Aves+Aves+Aves),0.06337333188373398,82.33510491528033,803.2407289567436,1135.909351009094,48.61683481383925,-220.3652804658959,299.4658022280947,-1207.7363794788898,-175.50803430479647,944.6342379455944,56.71418723448089,-158.7633648469218,-89.80714906116687,-1179.1875208861625,501.4188416598348,-1580.4059581494198,-861.8574857825467,90.02868714241443,-528.2418865710055,-1652.0482204084199,-137.4020422647775,-391.45940567884094,-2540.676372991878,-247.29639704082544,-4717.047751518637,-256.90284315290074,-856.0878970879203,51.51977422709019,-1080.7455916701992,1571.9548096261462,108.78771271863577,-129.46936219255238,-216.08316064313027,-268.83031653095367,-271.09763990056626,-149.31258361691695
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant)-(Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin),(Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus)-(Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli),(Aves+Aves+Aves+Aves)-(Aves+Aves+Aves+Aves+Aves+Aves),-0.14886506305843966,-250.45766315559172,1087.2903165729213,-2195.171805352721,-78.62031098243337,-79.9982530918627,-385.5938490682667,-426.3550711002602,-640.048060060794,-547.787917175364,-552.8035902985729,69.28489965127352,4480.8420383635375,-3407.6951619054357,579.866259519878,-92.61739378466235,-130.0765263678837,68.92059284670097,257.06619667787834,-163.55161386909467,1323.17854918152,391.1826883774251,-318.90719388333645,247.8468450759518,1303.2948990383284,153.44016126780542,-105.35464717076853,375.22732197896653,325.80613049317054,-156.68090304765104,-16.267131562007304,116.11543977959796,-155.82125100656285,15.089116906719571,121.68994483869433,-173.89399474708367
(Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Kakapo+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin)-(American Alligator),(Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Strigops habroptila+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli)-(Alligator mississippiensis),(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves)-(Reptilia),-1.5849876312257798,-285.48133738405573,-1030.9222349106592,-798.6656260354779,-71.17671256876001,-10.242774182392782,-143.63464662532058,-502.56115517898513,-461.28063177053644,-118.1607123898432,-144.4138811069559,-403.6816892457475,-2342.690498206878,-1244.5653260104268,-163.8426497807622,-396.3153481107987,-492.2413912522865,-295.44981734001067,-346.65892934341906,-2004.5583532293476,3199.1393130010506,306.8867138412489,523.2760293212541,208.74412258070177,-75.6622274372043,209.9226254157882,89.31569021189226,218.62553404189606,-1032.271275245034,-896.5904132506074,-192.31915811296696,-43.02690259689273,-69.02952745685542,-194.43208428312658,51.61102793973891,-314.8672019260551
