Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Golden Pheasant,Chrysolophus pictus,Aves,15.0,5280.0,33148.0,-15187.0,12683.0,5114.0,2249.0,13149.0,-9904.0,7843.0,4960.0,6591.0,50958.0,-17699.0,23323.0,-6391.0,2961.0,3143.0,12147.0,37416.0,25131.0,7079.0,27196.0,12535.0,17346.0,16715.0,24764.0,17120.0,26355.0,5914.0,20575.0,9322.0,5853.0,11192.0,12565.0,7415.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,6721.0,40203.0,-917.0,16225.0,7454.0,8125.0,22385.0,7532.0,15870.0,20509.0,16754.0,53021.0,2317.0,21004.0,18495.0,12789.0,5253.0,10851.0,47792.0,20720.0,5454.0,21217.0,12602.0,15592.0,15490.0,23224.0,13598.0,26515.0,6399.0,17880.0,9897.0,8526.0,10848.0,9882.0,7545.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,4339.0,8901.0,5987.0,11127.0,3697.0,5411.0,12583.0,-5216.0,8973.0,15241.0,8018.0,3340.0,20338.0,23254.0,-3092.0,4992.0,5749.0,9465.0,47312.0,19948.0,5725.0,21674.0,11947.0,16064.0,14518.0,20919.0,14137.0,20420.0,166.0,16774.0,3904.0,4494.0,5487.0,5917.0,6950.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,13.0,7543.0,21286.0,18229.0,14800.0,7010.0,9565.0,22790.0,6667.0,16007.0,18098.0,9985.0,3522.0,21185.0,13934.0,6334.0,8246.0,2337.0,9391.0,47575.0,22366.0,6001.0,22584.0,12418.0,16324.0,14992.0,21218.0,12099.0,26034.0,5073.0,18896.0,7430.0,8826.0,11044.0,9890.0,9331.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,12.0,6878.0,21336.0,18288.0,14751.0,7156.0,9539.0,22765.0,6652.0,16078.0,18278.0,7749.0,3363.0,19661.0,13944.0,6430.0,8262.0,2336.0,9502.0,46643.0,21775.0,6883.0,23686.0,12682.0,16894.0,15717.0,21562.0,12154.0,24542.0,5068.0,18959.0,8087.0,8936.0,11087.0,9984.0,9261.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,15.0,6959.0,21528.0,18454.0,15402.0,7588.0,8016.0,19852.0,11484.0,9893.0,18269.0,9507.0,3475.0,20806.0,14372.0,6515.0,8656.0,2438.0,9722.0,46576.0,-591.0,136.0,63779.0,2952.0,17572.0,15719.0,21838.0,14569.0,28518.0,890.0,18265.0,8484.0,7314.0,11559.0,9732.0,8302.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,15.0,10354.0,32409.0,-13205.0,12397.0,6135.0,5477.0,21951.0,-5116.0,9189.0,15146.0,8236.0,5457.0,20665.0,15166.0,3631.0,16065.0,2326.0,9376.0,49142.0,3143.0,11429.0,23135.0,14636.0,22128.0,12910.0,40371.0,9136.0,28950.0,5170.0,18319.0,7206.0,8163.0,10868.0,9696.0,10391.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,9590.0,37951.0,13338.0,16694.0,7781.0,10284.0,10973.0,10924.0,13303.0,23927.0,15957.0,45043.0,7892.0,19644.0,8845.0,15639.0,8398.0,15827.0,76238.0,24280.0,14383.0,21364.0,14242.0,18454.0,17477.0,22776.0,14757.0,16894.0,-5555.0,18177.0,5490.0,2660.0,6151.0,6413.0,4969.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,10069.0,36472.0,22430.0,16654.0,7861.0,10417.0,11861.0,11761.0,14588.0,24057.0,10266.0,12196.0,4042.0,12839.0,1730.0,7856.0,-36.0,6092.0,67564.0,19192.0,1786.0,8873.0,2958.0,8491.0,9218.0,17365.0,8608.0,8391.0,-5638.0,18213.0,5525.0,2724.0,5996.0,6447.0,4877.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,2.0,7965.0,6804.0,21977.0,15013.0,4092.0,5039.0,10088.0,10085.0,12777.0,18038.0,38848.0,10439.0,35466.0,19515.0,5816.0,14750.0,4243.0,14025.0,17136.0,24536.0,5880.0,22338.0,9854.0,11820.0,17884.0,22813.0,13856.0,89781.0,-39158.0,23835.0,6182.0,6295.0,8886.0,6811.0,9213.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,2402.0,7187.0,23938.0,13430.0,5672.0,8017.0,8399.0,11161.0,7644.0,24170.0,27264.0,83089.0,-21483.0,22009.0,4572.0,10048.0,3850.0,15882.0,127061.0,27380.0,7881.0,20154.0,14195.0,17149.0,13811.0,29679.0,18257.0,120421.0,-49331.0,32948.0,351.0,13550.0,8679.0,27689.0,-203.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,2.0,9029.0,8976.0,28329.0,18368.0,5840.0,10413.0,12582.0,14710.0,12856.0,28862.0,30269.0,84500.0,-18386.0,27919.0,7557.0,14005.0,11150.0,16048.0,138831.0,33488.0,8763.0,26030.0,14920.0,17581.0,19936.0,27299.0,17507.0,57390.0,-2970.0,29466.0,6867.0,6051.0,9765.0,9518.0,13144.0,0,0,1,0
Cattle+Sheep,Bos taurus+Ovis aries,Mammalia+Mammalia,4.5,3974.9999999999995,4337.5,-17857.0,-2135.5,-4201.0,1071.0,4459.5,5057.0,1736.0000000000002,4696.5,9228.5,3148.0,10751.5,12642.000000000002,105.0,4199.5,-6130.5,123.50000000000003,67951.0,22190.5,15531.5,21291.5,15183.5,18041.0,17101.5,21013.000000000004,17503.0,21113.5,39331.0,24789.0,12294.000000000002,11819.0,13354.500000000002,17024.5,8830.500000000002,82,2,0,0
