Common Name,Species,Class,Thoracic,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Mute Swan+Bar-Headed Goose,Cygnus olor+Anser indicus,Aves+Aves,7.749999999999999,6468.000000000001,35654.0,4729.5,13548.0,5177.5,8390.0,11855.500000000002,4413.5,10830.0,17739.0,6767.0,22886.5,-14083.499999999998,17092.0,-2919.0000000000005,7602.5,1832.0,7370.5,42474.0,20820.0,12095.0,20442.5,11247.5,15706.5,13772.5,20487.5,14269.0,27617.0,8936.0,17075.0,6286.5,5576.5,9453.0,7146.0,7348.500000000001,211,0,0,2
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck,Cygnus olor+Anser indicus+Anas zonorhyncha,Aves+Aves+Aves,7.031417133869124,6571.886551503494,37521.904833159635,2410.9410550811444,14647.22647578992,6112.2736541411105,8281.186023128754,16179.110450814327,5694.0146674452235,12899.518654456926,18876.414022390018,10867.849762313754,35260.29164538338,-7349.146688011742,18698.340669887995,5873.990568758058,9732.174305821596,3236.7268485907034,8799.658666039153,44657.67067547658,20778.938121935378,9368.080677728483,20760.524245610497,11803.683138385299,15659.48414961601,14477.737755759877,21611.158293238368,13993.47479818639,27164.498103727874,7894.260153500552,17405.548118420204,7769.039107523162,6787.620093516013,10025.813199001472,8269.452983848047,7429.186590396982,205,0,0,3
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus,Aves+Aves+Aves+Aves,7.017878470728863,6015.170687188752,35637.047214052895,-5172.583174068552,13800.777506329983,5682.085121300499,5681.7211926719665,14873.33746584826,-1027.676341006547,10720.500574375927,12879.37933569856,9024.816324741536,42024.94390082372,-11809.234553628603,20691.25654406302,588.6078721491583,6814.255428421586,3196.336906097731,10242.136739461095,41536.99963475032,22654.382902421923,8381.641484205893,23533.779716620666,12118.831320884723,16386.258592955743,15441.846703678988,22969.82016163899,15340.796030073045,26815.659085353134,7040.901751680295,18771.367850504404,8438.260382793864,6384.861946864399,10528.360959185804,10120.543675223806,7423.073127937494,204,0,0,4
Merlin+Kakapo,Falco columbarius+Strigops habroptila,Aves+Aves,7.0,8497.5,31059.5,33116.5,2197.5,4391.5,10878.0,12708.0,3090.0,19646.500000000004,18105.0,10362.000000000002,8086.500000000001,16025.5,20859.5,-3534.5,7343.0,2428.5,5800.0,34047.5,9885.500000000002,-9985.499999999998,17713.0,7399.5,-19563.5,11747.0,18262.0,11280.500000000002,21135.5,18788.5,19698.0,9201.0,8428.0,11679.500000000002,9613.999999999998,8572.0,191,0,0,2
California Condor+Steller'S Sea Eagle,Gymnogyps californianus+Haliaeetus pelagicus,Aves+Aves,5.500000000000001,4327.999999999999,19425.5,-3658.0000000000005,11186.499999999998,3702.0,5358.5,12311.500000000002,-5147.5,9001.0,15219.5,8075.0,3379.5000000000005,19944.0,18574.0,1551.5000000000002,6585.499999999999,4028.0,9425.5,47619.0,20316.5,5650.500000000001,21863.0,11984.0,16105.0,14548.5,20934.000000000004,14136.5,23186.0,2671.5,17749.0,5962.500000000001,6256.0,8131.0,7904.0,8051.5,167,0,0,2
Merlin+Kakapo+California Condor+Steller'S Sea Eagle,Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus,Aves+Aves+Aves+Aves,6.275937786707517,6484.848401117994,25443.6734737035,15365.149424850399,6536.56349019075,4058.6727359565552,8213.69240915476,12516.606221619688,-886.3083213312171,14507.83047226325,16712.14565569636,9258.046478800063,5814.39277468819,17916.99185519106,19756.270541013353,-1079.4463887962886,6977.348582287295,3200.5916734408834,7550.058369527929,40598.57355179929,14920.628631235923,-2437.8754886391584,19716.2387901092,9612.475477892924,-2346.024630118055,13099.30686035926,19551.79615594501,12659.114454108887,22125.293045570823,11008.692872243371,18757.201830861966,7637.749681501529,7379.557915152485,9966.610157421082,8788.569076846568,8320.750411987508,187,0,0,4
European Golden-Plover+Atlantic Puffin,Pluvialis apricaria+Fratercula arctica,Aves+Aves,6.5,7210.499999999999,21311.0,18258.5,14775.5,7083.0,9552.0,22777.5,6659.5,16042.499999999998,18188.0,8866.999999999998,3442.5,20423.0,13939.0,6382.0,8254.0,2336.5,9446.5,47108.99999999999,22070.5,6442.0,23135.0,12550.0,16609.0,15354.500000000002,21390.000000000004,12126.5,25288.0,5070.5,18927.5,7758.5,8881.0,11065.5,9937.0,9296.000000000002,153,0,0,2
Eurasian Coot+Royal Penguin,Fulica atra+Eudyptes schlegeli,Aves+Aves,7.500000000000001,8656.5,26968.5,2624.4999999999995,13899.5,6861.5,6746.499999999999,20901.5,3184.0000000000005,9541.0,16707.500000000004,8871.5,4466.0,20735.5,14769.0,5073.0,12360.5,2382.0,9549.0,47859.00000000001,1276.0000000000002,5782.5,43457.0,8794.0,19850.0,14314.5,31104.500000000004,11852.5,28734.0,3029.9999999999995,18292.0,7845.0,7738.5,11213.499999999998,9713.999999999998,9346.5,143,0,0,2
European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves,6.997907475662534,7930.474209808023,24127.911543560782,10474.214525491938,14339.33305131962,6972.7134941407485,8155.120577028758,21843.425575657086,4929.022568334862,12805.35454698003,17450.84798228162,8869.240583640481,3952.1083013406037,20578.59608614454,14352.263204799901,5730.239114357742,10298.657048808196,2359.154790142645,9497.53551625541,47482.4306067469,11716.762997335429,6113.630019800558,33253.47572041402,10679.85952141152,18222.718128622273,14836.676225310966,26226.92217232369,11990.073351668463,27003.789161133092,4054.5197959105976,18611.079799216455,7801.568996644808,8312.140709055555,11139.190306398054,9825.966632927253,9321.144327520959,170,0,0,4
Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,6.656304772911596,7246.470863171968,24750.46930241089,12788.378965024014,10647.422972819855,5593.924032268847,8182.834062048159,17430.405544275356,2177.476652084188,13610.887502645965,17101.32816843019,9053.205570902275,4833.255279003094,19319.247926718293,16909.1898181711,2508.210532897129,8727.167322590893,2757.283850027474,8576.079301340491,44225.30747360699,13232.684200863192,2067.4526816622724,26848.28060776982,10174.82270377596,8490.539304405387,14014.633306025526,23068.56092353153,12306.632692512694,24695.510179437704,7344.913221861043,18680.2179939429,7724.057264958746,7870.88561509529,10584.379551583128,9335.118035810514,8847.804143591005,19,0,0,8
Mute Swan+Bar-Headed Goose+Eastern Spot-Billed Duck+Golden Pheasant+Merlin+Kakapo+California Condor+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin,Cygnus olor+Anser indicus+Anas zonorhyncha+Chrysolophus pictus+Falco columbarius+Strigops habroptila+Gymnogyps californianus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli,Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves,6.795328245621016,6773.041442154133,28936.309910659522,5882.469202082692,11859.873714063002,5627.821577441558,7221.167328992182,16447.224283128984,945.1096343658265,12499.546631703817,15478.007689448705,9042.290032485918,19133.293526657966,7350.485373698603,18363.377590750642,1770.1318791387002,7991.661238713706,2926.097790109528,9216.67094885005,43191.66511044292,16855.285292202796,4495.230089067008,25573.869811388,10922.285338804471,11526.408123568704,14563.390486199265,23030.59554137253,13473.254950994626,25510.697969204433,7228.022168714297,18715.26470688868,7998.665175491866,7299.516148419489,10562.840652878982,9637.110687945946,8300.001428214646,225,0,0,12
