Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Mute Swan+Eastern Spot-Billed Duck)-(Golden Pheasant),(Cygnus olor+Anas zonorhyncha)-(Chrysolophus pictus),(Aves+Aves)-(Aves),2.5,2486.500000000001,12398.5,25982.0,3469.5,2049.0,7707.5,4239.5,20649.5,7830.499999999998,15520.0,4851.0,-22558.999999999996,19940.5,-5710.0,16784.5,7954.499999999998,78.0,-4065.000000000001,6495.500000000007,-3827.0,5450.000000000002,-5123.5,601.0,-487.0,-368.5000000000018,-1394.5,-1954.0,5295.999999999996,6141.0,-2517.5,-120.0,2500.0,475.5,-3247.5,549.0
(European Golden-Plover)-(Atlantic Puffin),(Pluvialis apricaria)-(Fratercula arctica),(Aves)-(Aves),1.0,665.0,-50.0,-59.0,49.0,-146.0,26.0,25.0,15.0,-71.0,-180.0,2236.0,159.0,1524.0,-10.0,-96.0,-16.0,1.0,-111.0,932.0,591.0,-882.0,-1102.0,-264.0,-570.0,-725.0,-344.0,-55.0,1492.0,5.0,-63.0,-657.0,-110.0,-43.0,-94.0,70.0
(Eurasian Coot)-(Royal Penguin),(Fulica atra)-(Eudyptes schlegeli),(Aves)-(Aves),0.0,-3395.0,-10881.0,31659.0,3005.0,1453.0,2539.0,-2099.0,16600.0,704.0,3123.0,1271.0,-1982.0,141.0,-794.0,2884.0,-7409.0,112.0,346.0,-2566.0,-3734.0,-11293.0,40644.0,-11684.0,-4556.0,2809.0,-18533.0,5433.0,-432.0,-4280.0,-54.0,1278.0,-849.0,691.0,36.0,-2089.0
(European Golden-Plover+Atlantic Puffin)-(Eurasian Coot+Royal Penguin),(Pluvialis apricaria+Fratercula arctica)-(Fulica atra+Eudyptes schlegeli),(Aves+Aves)-(Aves+Aves),-2.5000000000000018,-1446.000000000001,-5657.5,15634.0,876.0,221.5,2805.500000000001,1876.0,3475.4999999999995,6501.499999999998,1480.4999999999964,-4.500000000001819,-1023.5,-312.5,-830.0,1309.0,-4106.5,-45.5,-102.5,-750.0000000000146,20794.5,659.5,-20322.0,3756.0,-3241.0,1040.0000000000018,-9714.5,274.0,-3446.0,2040.5000000000005,635.5,-86.5,1142.5,-147.99999999999818,223.00000000000182,-50.49999999999818
(Steller'S Sea Eagle)-(European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin),(Haliaeetus pelagicus)-(Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli),(Aves)-(Aves+Aves+Aves+Aves),1.255231310843664,-3591.4742098080233,-15226.911543560782,-4487.214525491938,-3212.3330513196197,-3275.7134941407485,-2744.120577028758,-9260.425575657086,-10145.022568334862,-3832.35454698003,-2209.847982281619,-851.2405836404814,-612.1083013406037,-240.59608614453828,8901.736795200099,-8822.239114357742,-5306.657048808196,3389.845209857355,-32.535516255409675,-170.4306067469006,8231.237002664571,-388.63001980055833,-11579.475720414019,1267.1404785884806,-2158.718128622273,-318.6762253109664,-5307.9221723236915,2146.926648331537,-6583.789161133092,-3888.5197959105976,-1837.0797992164553,-3897.568996644808,-3818.140709055555,-5652.1903063980535,-3908.966632927253,-2371.1443275209585
(Mute Swan+Eastern Spot-Billed Duck+Golden Pheasant)-(Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin),(Cygnus olor+Anas zonorhyncha+Chrysolophus pictus)-(Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli),(Aves+Aves+Aves)-(Aves+Aves+Aves+Aves+Aves),2.3685519319258876,-462.935226142994,19329.41691638947,-10177.573798073017,994.5002251152782,14.491842134891158,-997.5652655282875,-4264.518805527159,-1058.895061169174,257.6443542824545,-3346.92056811154,615.6527490761073,34568.32551467325,-27109.241916501644,3801.2428255167997,-796.6617444455742,-1719.489978671958,70.73730422183053,390.9317274988571,-6407.858731724031,9443.960089417269,4089.8898066313095,-6328.828739018321,1907.3175713007058,-666.3601560177085,1744.0509948945073,-1055.5211727221722,3561.609008285068,3772.5988860471625,6150.302617425864,970.7088340219161,2323.4480856502832,-213.4869265858897,1579.3695559656135,1801.353959561162,-1070.917574221402
(Mute Swan+Eastern Spot-Billed Duck+Golden Pheasant+Steller'S Sea Eagle+European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin)-(American Alligator),(Cygnus olor+Anas zonorhyncha+Chrysolophus pictus+Haliaeetus pelagicus+Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli)-(Alligator mississippiensis),(Aves+Aves+Aves+Aves+Aves+Aves+Aves+Aves)-(Reptilia),13.026382878576873,-6177.847631616643,-22252.853283450695,-17092.515713849378,-1609.1433731637262,-49.27033214770108,-3448.128350317221,-9317.521035716465,-9414.975372115825,-3852.058465108712,-3088.496590037221,-7970.4423148946335,-48657.531199898905,-21813.27449199959,-3145.72609454914,-5720.64893212928,-9130.768058475118,-5729.352071917432,-6355.434658676273,-38532.94150904497,66881.94470065448,7621.154489457466,13518.117499442913,5167.115312117849,6142.164224627319,5122.9598946556125,2913.9501192476127,4999.1477358468655,-19095.547900488058,-20342.92941168132,-4166.5112211238775,-812.9482337773579,-1214.3008772202475,-3873.550310310253,1265.1567536860748,-6390.873892393378
(Green Sea Turtle)-(Snapping Turtle),(Chelonia mydas)-(Chelydra serpentina),(Reptilia)-(Reptilia),0.0,-6210.0,-33206.0,-45807.0,-5784.0,-7528.0,-9348.0,-6043.0,-5784.0,-7020.0,-9863.0,-253.0,-11679.0,-35155.0,78.0,-98.0,-953.0,0.0,-86.0,1728.0,424.0,73.0,148.0,75.0,-108.0,124.0,27.0,-557.0,-160.0,-13998.0,-4128.0,15.0,3.0,-31.0,-57.0,2.0
(Chinese Soft-Shelled Turtle)-(Green Sea Turtle+Snapping Turtle),(Pelodiscus sinensis)-(Chelonia mydas+Chelydra serpentina),(Reptilia)-(Reptilia+Reptilia),0.0,6684.0,30406.000000000004,25592.5,3597.000000000002,2678.0,17271.0,2533.5,8217.0,5954.0,2420.5,-2472.500000000002,-2884.5,-4468.500000000002,639.9999999999982,-1375.9999999999998,2130.499999999999,153.0,212.0,-18081.0,36776.0,6602.5,13580.0,12782.5,9771.0,8009.0,4586.5,6960.5,13772.0,50599.0,6474.0,3444.5,5540.5,11423.5,16102.5,4268.999999999999
(West African Mud Turtle)-(Chinese Soft-Shelled Turtle+Green Sea Turtle+Snapping Turtle),(Pelusios castaneus)-(Pelodiscus sinensis+Chelonia mydas+Chelydra serpentina),(Reptilia)-(Reptilia+Reptilia+Reptilia),1.0,-98.56670772614052,5687.748755966339,3379.352563213459,1465.7722250612042,2592.3797661145118,-2499.0944956819512,1100.7816047240904,-1294.4561097225742,-202.0003258230754,3814.843250141963,6825.35325925387,39862.29483369779,23248.973119909373,6505.119884358957,7724.892248628242,7391.054552541809,8371.633347354564,9691.583461693903,15180.27089204015,-10114.823645023418,9869.154744500025,6881.450046241624,6036.031127841205,6034.094359486518,4932.329927860763,3527.9271087693087,3590.2249298133156,2969.186011549311,-13543.426517689251,-610.9654197814234,-1446.564934883706,-2323.9473136081206,-4486.006251602268,-6569.284472046704,-1649.1518963618928
