species,Cervical,Lumbar+Sacral,treeSpecies
,12.0,12.0,Ptilinopus_melanospilus
,13.0,13.0,Goura_cristata
,13.0,12.0,Pterocles_orientalis
,12.5,12.0,Burhinus_oedicnemus
,12.66666667,18.0,Haematopus_ostralegus
,12.0,12.0,Vanellus_vanellus
,12.0,13.0,Pluvialis_squatarola
,13.0,13.0,Pluvialis_apricaria
,14.0,12.0,Fratercula_arctica
,14.0,12.5,Uria_aalge
,14.0,12.0,Chroicocephalus_ridibundus
,13.0,12.0,Sterna_paradisaea
,13.0,12.0,Sterna_hirundo
,13.0,12.0,Rynchops_niger
,12.5,17.0,Alca_torda
,12.0,11.0,Glareola_pratincola
,14.0,14.0,Numenius_arquata
,12.0,15.0,Limosa_lapponica
,14.0,13.0,Tringa_nebularia
,10.0,12.0,Arenaria_interpres
,13.0,12.0,Calidris_canutus
,13.5,12.0,Calidris_pugnax
,13.33333333,11.5,Scolopax_rusticola
,13.5,14.0,Gallinago_gallinago
,15.0,12.0,Jacana_spinosa
,13.0,13.0,Attagis_gayi
,11.0,16.0,Gavia_stellata
,15.66666667,13.0,Ciconia_ciconia
,19.0,14.0,Pelecanus_conspicillatus
,15.0,15.0,Plegadis_falcinellus
,16.0,14.0,Platalea_leucorodia
,16.0,15.0,Threskiornis_melanocephalus
,13.0,13.0,Diomedea_exulans
,12.0,14.0,Macronectes_giganteus
,11.0,12.0,Oceanites_oceanicus
,13.0,13.0,Aptenodytes_forsteri
,12.0,15.0,Eudyptes_schlegeli
,13.0,13.0,Spheniscus_humboldti
,13.0,14.0,Eudyptula_minor
,16.0,14.0,Psophia_viridis
,14.0,15.0,Fulica_atra
,13.5,14.0,Gallinula_chloropus
,11.0,12.0,Melopsittacus_undulatus
,11.0,9.0,Arremon_semitorquatus
,12.0,9.0,Chlorophonia_cyanocephala
,12.0,11.0,Catharus_minimus
,11.0,10.0,Chloris_sinica
,12.0,10.0,Orthogonys_chloricterus
,12.0,11.0,Motacilla_alba_alba
,11.0,9.0,Hemithraupis_flavicollis
,12.0,9.0,Trichothraupis_melanops
,12.0,9.0,Parkerthraustes_humeralis
,12.0,10.0,Neothraupis_fasciata
,11.0,9.0,Thraupis_ornata
,11.0,9.0,Tangara_seledon
,11.0,9.0,Saltator_coerulescens
,12.0,9.0,Cissa_thalassina
,12.0,7.0,Pica_pica
,11.0,9.0,Nucifraga_caryocatactes
,12.0,10.0,Coloeus_monedula
,11.0,9.0,Corvus_frugilegus
,12.5,9.0,Corvus_corone
,11.5,10.0,Corvus_corax
,11.0,11.0,Parus_major
,11.0,9.0,Alauda_arvensis
,12.0,10.0,Hirundo_rustica
,13.0,11.0,Heteralocha_acutirostris
,12.0,10.0,Pyrrhocorax_graculus
,13.0,15.0,Cariama_cristata
,13.5,12.0,Accipiter_gentilis
,12.0,11.0,Otus_sunia
,12.66666667,10.0,Upupa_epops
,2.0,6.0,Alligator_mississippiensis
,3.0,3.0,Crocodylus_siamensis
,8.0,2.0,Podocnemis_expansa
,8.0,3.0,Pelusios_castaneus
,8.0,2.0,Chelus_fimbriata
,8.0,2.0,Pelodiscus_sinensis
,8.0,2.5,Apalone_spinifera
,8.0,3.0,Pelochelys_bibroni
,8.0,2.0,Carettochelys_insculpta
,8.0,2.0,Trachemys_scripta
,8.0,2.0,Chrysemys_picta
,8.0,2.0,Emys_orbicularis
,8.0,2.0,Terrapene_ornata
,8.0,3.0,Clemmys_guttata
,8.0,3.0,Glyptemys_muhlenbergii
,8.0,3.0,Platysternon_megacephalum
,8.0,3.0,Gopherus_polyphemus
,8.0,3.0,Testudo_graeca
,8.0,3.0,Chelonoidis_niger
,8.0,3.0,Chelonoidis_carbonarius
,8.0,3.0,Caretta_caretta
,8.0,2.0,Lepidochelys_kempii
,8.0,2.0,Eretmochelys_imbricata
,8.0,3.0,Chelonia_mydas
,7.5,3.0,Dermochelys_coriacea
,8.0,3.0,Chelydra_serpentina
,8.0,3.0,Macrochelys_temminckii
,8.0,3.0,Kinosternon_flavescens
,8.0,2.0,Kinosternon_sonoriense
,8.0,5.0,Kinosternon_integrum
,3.0,2.0,Sphenodon_punctatus
,3.0,3.0,Adolfus_jacksoni
,3.0,3.0,Tupinambis_teguixin
,2.0,5.0,Chamaeleo_calyptratus
,3.0,2.0,Archaius_tigris
,4.0,6.0,Chlamydosaurus_kingii
,3.0,2.0,Lophosaurus_dilophus
,4.0,2.0,Moloch_horridus
,4.0,2.0,Hydrosaurus_amboinensis
,4.0,2.5,Draco_volans
,4.0,2.0,Gonocephalus_chamaeleontinus
,4.0,2.0,Trapelus_agilis
,3.0,4.0,Acanthocercus_annectans
,4.0,4.0,Uromastyx_aegyptia
,3.0,2.0,Dipsosaurus_dorsalis
,4.6666,2.0,Iguana_iguana
,3.0,2.0,Uta_stansburiana
,3.0,2.0,Urosaurus_ornatus
,3.0,3.0,Phrynosoma_solare
,3.0,4.0,Phrynosoma_mcallii
,3.0,2.0,Phrynosoma_taurus
,3.0,3.0,Phrynosoma_cornutum
,4.0,3.0,Corytophanes_cristatus
,4.0,6.0,Anolis_agassizi
,3.0,6.0,Anolis_eulaemus
,4.0,6.0,Anolis_coelestinus
,3.0,3.0,Gambelia_wislizenii
,4.0,3.0,Crotaphytus_vestigium
,4.0,2.0,Crotaphytus_collaris
,3.0,2.0,Uranoscodon_superciliosus
,3.0,5.0,Heloderma_suspectum
,3.0,3.0,Abronia_graminea
,3.0,0.0,Anguis_fragilis
,3.0,3.0,Shinisaurus_crocodilurus
,4.0,6.0,Lanthanotus_borneensis
,5.0,6.0,Varanus_salvator
,5.0,2.0,Varanus_niloticus
,3.0,0.0,Acrochordus_granulatus
,3.0,3.0,Gloydius_himalayanus
,4.0,0.0,Bothrops_bilineatus
,3.0,0.0,Bothrops_asper
,3.0,0.0,Crotalus_atrox
,2.0,0.0,Crotalus_tigris
,2.0,0.0,Vipera_berus_berus
,3.0,0.0,Thamnophis_elegans
,2.0,0.0,Xenochrophis_vittatus
,2.0,0.0,Xenodon_pulcher
,2.0,2.0,Hypsiglena_torquata
,2.0,0.0,Dasypeltis_scabra
,3.0,0.0,Boiga_dendrophila
,3.0,4.0,Bogertophis_subocularis
,2.0,0.0,Lampropeltis_rhombomaculata
,3.0,3.0,Lampropeltis_getula
,3.0,0.0,Coluber_constrictor
,3.0,0.0,Enhydris_chanardi
,3.0,0.0,Boaedon_fuliginosus
,2.0,0.0,Leioheterodon_geayi
,2.0,0.0,Micrurus_fulvius
,2.0,0.0,Ahaetulla_prasina
,2.0,0.0,Python_molurus
,2.0,0.0,Lichanura_trivirgata
,2.0,0.0,Boa_constrictor_constrictor
,4.0,0.0,Epicrates_cenchria
,3.0,3.0,Lepidophyma_flavimaculatum
,3.0,2.0,Corucia_zebrata
,3.0,3.0,Trachylepis_perrotetii
,3.0,3.0,Chioninia_coctei
,3.0,3.0,Gehyra_marginata
,3.0,3.0,Gekko_gecko
,2.0,3.0,Gekko_japonicus
,3.0,3.0,Goniurosaurus_lichtenfelderi
,2.0,0.0,Lialis_burtonis
,3.0,0.0,Lialis_jicari
,3.0,2.0,Aprasia_repens
