name,species,class,C,T,L,S,Ca,node,Amphibia,Aves,Reptilia,Mammalia
AfricanPocupine,Hystrix cristata,Mammalia,7.0,15.0,4.0,4.0,12.0,0,0,0,0,1
Pocupine,Hystrix brachyura,Mammalia,7.0,14.0,5.0,3.0,15.0,0,0,0,0,1
Coypu,Myocastor coypus,Mammalia,7.0,13.0,6.0,4.0,21.0,0,0,0,0,1
Chinchilla,Chinchilla lanigera,Mammalia,7.0,13.0,6.0,3.0,23.0,0,0,0,0,1
Acouchy,Myoprocta acouchy,Mammalia,7.0,13.0,6.5,4.0,14.0,0,0,0,0,1
Capybara,Hydrochoerus hydrochaeris,Mammalia,7.0,13.0,6.0,2.0,8.0,0,0,0,0,1
GuineaPig,Cavia porcellus,Mammalia,7.0,13.5,6.0,3.5,5.5,0,0,0,0,1
CommonMarmoset,Callithrix jacchus,Mammalia,7.0,13.0,6.0,3.0,19.0,0,0,0,0,1
White-facedCapuchin,Cebus capucinus,Mammalia,7.0,13.0,6.0,3.0,23.0,0,0,0,0,1
CommonSquirrel-monkey,Saimiri sciureus,Mammalia,7.0,13.0,7.0,3.0,24.0,0,0,0,0,1
BlackSpiderMonkey,Ateles paniscus,Mammalia,7.0,13.0,4.0,3.0,30.0,0,0,0,0,1
LongHairedSpiderMonkey,Ateles belzebuth,Mammalia,7.0,14.0,4.0,3.0,31.0,0,0,0,0,1
Guenon,Cercopithecus mona,Mammalia,7.0,12.0,7.0,1.0,28.0,0,0,0,0,1
BonnetMacaque,Macaca radiata,Mammalia,7.0,12.0,7.0,3.0,22.0,0,0,0,0,1
RhesusMonkey,Macaca mulatta,Mammalia,7.0,12.0,7.0,3.0,15.0,0,0,0,0,1
Pig-tailedMacaque,Macaca nemestrina,Mammalia,7.0,12.0,7.0,3.0,17.0,0,0,0,0,1
Orang-utan,Pongo pygmaeus,Mammalia,7.0,12.0,5.0,5.0,3.0,0,0,0,0,1
Human,Homo sapiens,Mammalia,7.0,12.0,5.0,5.0,4.0,0,0,0,0,1
Chimpanzee,Pan troglodytes,Mammalia,7.0,13.0,4.0,6.0,2.0,0,0,0,0,1
IndriLemur,Indri indri,Mammalia,7.0,12.0,9.0,4.0,9.0,0,0,0,0,1
Aardvark,Orycteropus afer,Mammalia,7.0,13.0,8.0,6.0,25.0,0,0,0,0,1
AfricanBushElephant,Loxodonta africana,Mammalia,7.0,20.5,3.0,5.0,20.0,0,0,0,0,1
AsianElephant,Elephas maximus,Mammalia,7.0,20.0,3.0,3.0,31.0,0,0,0,0,1
Nine-bandedArmadillo,Dasypus novemcinctus,Mammalia,7.0,10.0,5.0,8.0,16.0,0,0,0,0,1
Pale-throatedThree-toedSloth,Bradypus tridactylus,Mammalia,9.0,16.0,3.0,6.0,11.0,0,0,0,0,1
Linne'sTwo-toedSloth,Choloepus didactylus,Mammalia,7.0,23.0,3.0,8.0,4.0,0,0,0,0,1
Short-beakedEchidna,Tachyglossus aculeatus,Mammalia,7.0,16.0,3.0,3.0,12.0,0,0,0,0,1
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,17.0,2.0,2.0,20.0,0,0,0,0,1
Emu,Dromaius novaehollandiae,Aves,18.25,8.333333333,0.0,15.0,7.0,0,0,1,0,0
SouthernBrownKiwi,Apteryx australis,Aves,15.0,9.0,0.0,13.0,9.0,0,0,1,0,0
CaliforniaQuail,Callipepla californica,Aves,12.0,6.0,0.0,13.0,6.0,0,0,1,0,0
Chicken,Gallus gallus,Aves,14.0,6.0,0.0,12.0,6.0,0,0,1,0,0
GreenPeafowl,Pavo muticus,Aves,13.0,6.0,0.0,13.0,5.0,0,0,1,0,0
GreatArgus,Argusianus argus,Aves,12.0,8.0,0.0,12.0,5.0,0,0,1,0,0
WillowPtarmigan,Lagopus lagopus,Aves,15.0,6.0,0.0,13.0,6.5,0,0,1,0,0
RockPtarmigan,Lagopus muta,Aves,12.0,6.0,0.0,15.0,6.0,0,0,1,0,0
WesternCapercaillie,Tetrao urogallus,Aves,14.0,6.5,0.0,18.0,6.0,0,0,1,0,0
BlackGrouse,Lyrurus tetrix tetrix,Aves,13.0,6.0,0.0,16.0,6.0,0,0,1,0,0
GreyPartridge,Perdix perdix,Aves,12.0,6.0,0.0,13.0,6.0,0,0,1,0,0
SilverPheasant,Lophura nycthemera,Aves,14.0,5.0,0.0,13.0,5.0,0,0,1,0,0
GoldenPheasant,Chrysolophus pictus,Aves,13.0,7.0,0.0,15.0,5.0,0,0,1,0,0
CommonPheasant,Phasianus colchicus,Aves,13.0,5.5,0.0,14.0,6.0,0,0,1,0,0
CapeFrancolin,Pternistis capensis,Aves,15.0,7.0,0.0,14.0,6.0,0,0,1,0,0
JapaneseQuail,Coturnix japonica,Aves,13.0,6.0,0.0,12.0,7.0,0,0,1,0,0
GreatCurassow,Crax rubra,Aves,15.0,7.0,0.0,17.0,5.0,0,0,1,0,0
AndeanGuan,Penelope montagnii,Aves,14.0,7.0,0.0,14.0,6.0,0,0,1,0,0
CommonShelduck,Tadorna tadorna,Aves,16.0,6.0,0.0,15.0,7.0,0,0,1,0,0
RuddyShelduck,Tadorna ferruginea,Aves,16.0,6.0,0.0,17.0,7.0,0,0,1,0,0
WanderingWhistling-duck,Dendrocygna arcuata,Aves,15.0,6.0,0.0,18.0,6.0,0,0,1,0,0
MuskDuck,Biziura lobata,Aves,14.8,6.4,0.0,15.0,9.2,0,0,1,0,0
White-headedDuck,Oxyura leucocephala,Aves,13.0,6.0,0.0,13.0,7.0,0,0,1,0,0
WhooperSwan,Cygnus cygnus,Aves,23.0,5.5,0.0,21.0,7.0,0,0,1,0,0
BlackSwan,Cygnus atratus,Aves,22.0,7.5,0.0,19.0,8.0,0,0,1,0,0
MuteSwan,Cygnus olor,Aves,23.33333333,6.5,0.0,20.0,9.0,0,0,1,0,0
SwanGoose,Anser cygnoides,Aves,17.0,6.0,0.0,19.0,6.0,0,0,1,0,0
BrantGoose,Branta bernicla,Aves,17.0,7.0,0.0,18.0,6.0,0,0,1,0,0
CapeBarrenGoose,Cereopsis novaehollandiae,Aves,17.5,6.5,0.0,17.0,6.0,0,0,1,0,0
CoscorobaSwan,Coscoroba coscoroba,Aves,20.0,7.0,0.0,19.0,8.0,0,0,1,0,0
EasternSpot-billedDuck,Anas zonorhyncha,Aves,15.0,6.0,0.0,15.0,6.0,0,0,1,0,0
CommonScoter,Melanitta nigra,Aves,14.0,6.0,0.0,16.0,6.0,0,0,1,0,0
Smew,Mergellus albellus,Aves,15.0,6.0,0.0,15.0,6.0,0,0,1,0,0
CommonGoldeneye,Bucephala clangula,Aves,15.0,6.0,0.0,16.0,6.0,0,0,1,0,0
GreaterScaup,Aythya marila,Aves,15.0,6.0,0.0,16.0,6.0,0,0,1,0,0
Gadwall,Mareca strepera,Aves,14.0,7.0,0.0,16.0,6.0,0,0,1,0,0
NorthernPintail,Anas acuta,Aves,15.5,7.0,0.0,16.0,6.0,0,0,1,0,0
Mallard,Anas platyrhynchos,Aves,15.0,6.0,0.0,16.0,6.5,0,0,1,0,0
HoubaraBustard,Chlamydotis undulata undulata,Aves,12.0,8.0,0.0,13.0,6.0,0,0,1,0,0
LittleGrebe,Tachybaptus ruficollis,Aves,16.0,5.0,0.0,13.0,6.0,0,0,1,0,0
GreatCrestedGrebe,Podiceps cristatus,Aves,19.0,7.0,0.0,17.0,6.0,0,0,1,0,0
CommonWood-pigeon,Columba palumbus,Aves,13.0,6.0,0.0,12.0,7.0,0,0,1,0,0
MountainImperial-pigeon,Ducula badia,Aves,12.0,6.0,0.0,12.0,6.0,0,0,1,0,0
WompooFruit-dove,Ptilinopus magnificus,Aves,12.0,6.0,0.0,13.0,6.0,0,0,1,0,0
Black-napedFruit-dove,Ptilinopus melanospilus,Aves,12.0,6.0,0.0,12.0,6.0,0,0,1,0,0
WesternCrowned-pigeon,Goura cristata,Aves,13.0,5.5,0.0,13.0,6.0,0,0,1,0,0
Black-belliedSandgrouse,Pterocles orientalis,Aves,13.0,6.5,0.0,12.0,6.0,0,0,1,0,0
EurasianThick-knee,Burhinus oedicnemus,Aves,12.5,6.0,0.0,12.0,6.0,0,0,1,0,0
EurasianOystercatcher,Haematopus ostralegus,Aves,12.66666667,7.0,0.0,18.0,7.5,0,0,1,0,0
NorthernLapwing,Vanellus vanellus,Aves,12.0,8.0,0.0,12.0,6.0,0,0,1,0,0
GreyPlover,Pluvialis squatarola,Aves,12.0,7.0,0.0,13.0,8.0,0,0,1,0,0
EuropeanGolden-plover,Pluvialis apricaria,Aves,13.0,6.0,0.0,13.0,8.0,0,0,1,0,0
