species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Dryophytes gratiosus,1.0,7.0,0.0,1.0,3.0
Dryophytes japonicus,1.0,7.0,0.0,1.0,3.0
Boana boans,1.0,7.0,0.0,1.0,3.0
Agalychnis moreletii,1.0,7.0,0.0,1.0,3.0
Ischnocnema guentheri,1.0,7.0,0.0,1.0,3.0
Brachycephalus albolineatus,1.0,7.0,0.0,1.0,3.0
Pristimantis pulvinatus,1.0,7.0,0.0,1.0,3.0
Haddadus binotatus,1.0,7.0,0.0,1.0,3.0
Eleutherodactylus gossei,1.0,7.0,0.0,1.0,3.0
Pyxicephalus adspersus,1.0,7.0,0.0,1.0,3.0
Lithobates clamitans melanotus,1.0,7.0,0.0,1.0,3.0
Lithobates pipiens,1.0,7.0,0.0,1.0,3.0
Rana temporaria,1.0,7.0,0.0,1.0,3.0
Rana dalmatina,1.0,7.0,0.0,1.0,2.0
Sylvirana guentheri,1.0,7.0,0.0,1.0,3.0
Pelophylax lessonae,1.0,7.0,0.0,1.0,3.0
Boophis albilabris,1.0,7.0,0.0,1.0,3.0
Raorchestes signatus,1.0,7.0,0.0,1.0,3.0
Pseudophilautus microtympanum,1.0,7.0,0.0,1.0,3.0
Kurixalus idiootocus,1.0,7.0,0.0,1.0,3.0
Rhacophorus reinwardtii,1.0,7.0,0.0,1.0,3.0
Polypedates leucomystax,1.0,7.0,0.0,1.0,3.0
Polypedates cruciger,1.0,7.0,0.0,1.0,3.0
Taruga eques,1.0,7.0,0.0,1.0,3.0
Chiromantis rufescens,1.0,7.0,0.0,1.0,3.0
Theloderma stellatum,1.0,7.0,0.0,1.0,3.0
Nyctixalus pictus,1.0,7.0,0.0,1.0,3.0
Buergeria oxycephala,1.0,7.0,0.0,1.0,3.0
Hoplobatrachus tigerinus,1.0,7.0,0.0,1.0,3.0
Hypopachus ustum,1.0,7.0,0.0,1.0,3.0
Hamptophryne boliviana,1.0,7.0,0.0,1.0,3.0
Kaloula pulchra,1.0,7.0,0.0,1.0,3.0
Dyscophus guineti,1.0,7.0,0.0,1.0,3.0
Hemisus guineensis,1.0,7.0,0.0,1.0,3.0
Callulina kreffti,1.0,7.0,0.0,1.0,3.0
Pipa pipa,1.0,6.0,0.0,1.0,3.0
Xenopus laevis,1.0,7.0,0.0,1.0,4.0
Xenopus tropicalis,1.0,7.0,0.0,1.0,3.0
Bombina variegata,1.0,7.0,0.0,1.0,2.0
Bombina bombina,1.0,7.0,0.0,1.0,2.0
Discoglossus pictus,1.0,7.0,0.0,1.0,3.0
Herpele squalostoma,1.0,121.0,0.0,0.0,2.0
Siphonops annulatus,1.0,162.0,0.0,0.0,5.0
Microcaecilia dermatophaga,1.0,111.33,0.0,0.0,4.0
Dermophis mexicanus,1.0,104.5,0.0,0.0,2.0
Potomotyphlus kaupii,1.0,91.0,0.0,0.0,12.0
Ichthyophis glutinosus,1.0,108.0,0.0,0.0,4.0
Thylacinus cynocephalus,7.0,13.0,6.0,2.0,23.0
Myrmecobius fasciatus,7.0,13.0,6.0,3.0,22.0
Antechinus flavipes,7.0,13.0,6.0,3.0,23.0
Dasyurus hallucatus,7.0,13.0,6.0,2.0,20.0
Perameles nasuta,7.0,13.0,6.0,2.0,19.0
Phalanger orientalis,7.0,13.0,6.0,2.0,25.0
Macropus rufogriseus,7.0,13.0,6.0,2.0,22.0
Hypsiprymnodon moschatus,7.0,13.0,6.0,2.0,24.0
Vombatus ursinus,7.0,15.0,4.0,4.0,10.0
Monodelphis domestica,7.0,14.0,6.0,2.0,19.5
Didelphis virginiana,7.0,13.0,6.0,1.0,17.0
Sorex minutus,7.0,14.0,6.0,3.0,15.0
Erinaceus europaeus,7.0,15.0,5.5,3.5,12.5
Talpa europaea,7.0,13.0,6.0,5.0,10.0
Paradoxurus hermaphroditus,7.0,13.0,7.0,2.0,33.0
Genetta genetta,7.0,13.0,7.0,3.0,28.0
Crocuta crocuta,7.0,15.0,7.0,4.0,19.0
Herpestes ichneumon,7.0,13.0,7.0,2.0,27.0
Felis catus,7.0,13.0,7.0,2.0,22.0
Panthera leo,7.0,13.0,7.0,3.0,23.0
Panthera pardus,7.0,13.0,7.0,3.0,23.0
Vulpes vulpes,7.0,13.0,7.0,3.0,22.0
Odobenus rosmarus,7.0,14.0,6.0,3.0,9.0
Phoca groenlandica,7.0,15.0,5.0,4.0,8.0
