Class,Order,Family,Species,Common name,Taxonomy ID,Cervical,Thoracic,Lumbar,Sacral,Caudal,Annotation 1,Annotation 2,Annotation 3,Reference 1,Reference 2,Reference 3,Reference 4
Amphibia,Anura,Hylidae,Osteopilus septentrionalis,Cuban treefrog,317373,1,7,0,1,3,https://sketchfab.com/3d-models/hylidae-osteopilus-septentrionalis-12b112d44e9f429e9e85cdd834517607,assuming that Rockova is correct that all Anura have 3 fused caudal,,Blackburn lab: UF63656,,,
Amphibia,Anura,Hylidae,Dryophytes gratiosus,Barking treefrog,318322,1,7,0,1,3,https://portal.idigbio.org/portal/records/0ca74c81-cb95-470b-b7c5-a4c93e719969,assuming that Rockova is correct that all Anura have 3 fused caudal,had basionym Hyla gratiosa,IDigBio: Yale Peabody Museum YPM HERA 010802.001,,,
Amphibia,Anura,Hylidae,Dryophytes japonicus,Japanese Treefrog,109175,1,7,0,1,3,https://ctseibutsu.jp/ex/flog.html,assuming that Rockova is correct that all Anura have 3 fused caudal,,ctseibutsu,,,
Amphibia,Anura,Hylidae,Boana boans,Rusty treefrog,317327,1,7,0,1,3, https://portal.idigbio.org/portal/records/6e9b3620-b8a8-4833-88e7-2bf48c9e1141,assuming that Rockova is correct that all Anura have 3 fused cauda,had homotypic synonym Hypsiboas boans Owens calls them Bull-frog (Rana boans) but NCBI calls this a basionym see https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=317327,Owen R. 1853. Descriptive catalogue of the osteological series contained in the museum of the Royal College of Surgeons of England. London: Royal College of Surgeons.,IDigBio: Yale Peabody Museum YPM HERA 006012,,
Amphibia,Anura,Hylidae,Agalychnis moreletii,Black-eyed leaf frog,431669,1,7,0,1,3,https://portal.idigbio.org/portal/records/2c68b81a-9b43-4018-b39c-68d50d81624e,assuming that Rockova is correct that all Anura have 3 fused caudal,,IDigBio: Yale Peabody Museum YPM HERA 011435.001,,,
Amphibia,Anura,Brachycephalidae,Ischnocnema guentheri,Steindachner's robber frog,448676,1,7,0,1,3,http://digimorph.org/specimens/Ischnocnema_guentheri/,assuming that Rockova is correct that all Anura have 3 fused caudal,,Digimorph: University of Kansas Natural History Museum (KU 92816),,,
Amphibia,Anura,Brachycephalidae,Brachycephalus albolineatus,miniature frog,2170610,1,7,0,1,3,https://sketchfab.com/3d-models/brachycephalus-albolineatus-04ceaa4dc6bf4656b8bbfde4b8edbca5,assuming that Rockova is correct that all Anura have 3 fused caudal,,Blackburn lab: Museu de História Natural Capão da Imbuia MHNCI-10295,,,
Amphibia,Anura,Strabomantidae,Pristimantis pulvinatus,Robber frog,448844,1,7,0,1,3,http://digimorph.org/specimens/Pristimantis_pulvinatus/,assuming that Rockova is correct that all Anura have 3 fused caudal,,Digimorph: University of Kansas Natural History Museum (KU 166368),,,
Amphibia,Anura,Craugastoridae,Haddadus binotatus,Clay robber frog,356176,1,7,0,1,3,http://digimorph.org/specimens/Haddadus_binotatus/,,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: University of Kansas Natural History Museum (KU 92808),,,
Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus gossei,Spaldings robber frog,448449,1,7,0,1,3,http://digimorph.org/specimens/Eleutherodactylus_gossei/,assuming that Rockova is correct that all Anura have 3 fused caudal,,Digimorph: National Museum of Natural History (USNM 266440),,,
Amphibia,Anura,Pyxicephalidae,Pyxicephalus adspersus,African bullfrog,30357,1,7,0,1,3,https://portal.idigbio.org/portal/records/e4cc8dc3-6ead-42e3-8ee4-b140999818c8,assuming that Rockova is correct that all Anura have 3 fused caudal,,IDigBio: Yale Peabody Museum YPM HERA 014129.001,,,
Amphibia,Anura,Ranidae,Lithobates clamitans melanotus,Green frog,1574420,1,7,0,1,3,https://portal.idigbio.org/portal/records/6384a987-ff8e-4fbb-aeb3-8c22b66d1cce,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Rana clamitans melanota,IDigBio: Yale Peabody Museum YPM HERA 005929,,,
Amphibia,Anura,Ranidae,Lithobates pipiens,Northern leopard frog,8404,1,7,0,1,3,https://portal.idigbio.org/portal/records/50c07af4-2270-4e60-88dd-cd210247a11a,assuming that Rockova is correct that all Anura have 3 fused caudal,had basionym Rana pipiens,IDigBio: Yale Peabody Museum YPM HERA 006063,,,
Amphibia,Anura,Ranidae,Rana temporaria,Common frog,8407,1,7,0,1,3,see https://amphibiaweb.org/species/5168,assuming that Rockova is correct that all Anura have 3 fused caudal,,Owen R. 1853. Descriptive catalogue of the osteological series contained in the museum of the Royal College of Surgeons of England. London: Royal College of Surgeons.,,,
Amphibia,Anura,Ranidae,Rana dalmatina,Agile frog,51331,1,7,0,1,2,they claim that all anura (frogs) have a single sacrum and then describe the several and varying caudal vertebrae or somites that fuse plus they have pictures,,,"Ročková, Hana, and Zbyněk Roček. ""Development of the pelvis and posterior part of the vertebral column in the Anura."" Journal of Anatomy 206.1 (2005): 17-35.",,,
Amphibia,Anura,Ranidae,Sylvirana guentheri,G√ºnther's frog,110109,1,7,0,1,3,https://portal.idigbio.org/portal/records/1f9f5c71-8465-4aad-941f-b4ec55e91873,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Hylarana guentheri,IDigBio: Yale Peabody Museum YPM HERA 006051,,,
Amphibia,Anura,Ranidae,Pelophylax lessonae,Pool frog,45623,1,7,0,1,3,https://portal.idigbio.org/portal/records/e6964a62-7270-4779-b941-24fdc9db4cb8,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Rana esculenta,IDigBio: Yale Peabody Museum YPM HERA 006019,,,
Amphibia,Anura,Mantellidae,Boophis albilabris,White-lipped bright-eyed frog,127642,1,7,0,1,3,https://sketchfab.com/3d-models/boophis-albilabris-3c292f357d7e4dee95b2990d0e955341,assuming that Rockova is correct that all Anura have 3 fused caudal,,Michigan Herpetology UMMZ-218927,,,
Amphibia,Anura,Rhacophoridae,Raorchestes signatus,Boulenger's bubble-nest frog,209480,1,7,0,1,3,http://digimorph.org/specimens/Philautus_signatus/whole/,but used the homotypic synonym Philautus signatus,assuming that Rockova is correct that all Anura have 3 fused caudal,"Digimorph: Natural History Museum, London (BMNH 1947.2.27.33)",,,
Amphibia,Anura,Rhacophoridae,Pseudophilautus microtympanum,Gunther's bubble-nest frog,129024,1,7,0,1,3,http://digimorph.org/specimens/Philautus_microtympanum/whole/,but used the homotypic synonym Philautus microtympanum,assuming that Rockova is correct that all Anura have 3 fused caudal,"Digimorph: Natural History Museum, London (BMNH 19472849)",,,
Amphibia,Anura,Rhacophoridae,Kurixalus idiootocus,Temple treefrog,356214,1,7,0,1,3,http://digimorph.org/specimens/Chirixalus_idiootocus/whole/,but used basionym Chirixalus idiootocus,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: Field Museum of Natural History (FMNH 231756),,,
Amphibia,Anura,Rhacophoridae,Rhacophorus reinwardtii,Hochstetter's Frog,161706,1,7,0,1,3,http://digimorph.org/specimens/Rhacophorus_reinwardtii/whole/,,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: Field Museum of Natural History (FMNH 252384),,,
Amphibia,Anura,Rhacophoridae,Polypedates leucomystax,Java whipping frog,68444,1,7,0,1,3,http://digimorph.org/specimens/Polypedates_leucomystax/whole/,,assuming that Rockova is correct that all Anura have 3 fused caudal,"Digimorph: Museum of Comparative Zoology, Harvard University (MCZ A-135392)",,,
Amphibia,Anura,Rhacophoridae,Polypedates cruciger,Sri Lanka whipping frog,129027,1,7,0,1,3,http://digimorph.org/specimens/Polypedates_cruciger/whole/,,assuming that Rockova is correct that all Anura have 3 fused caudal,"Digimorph: Natural History Museum, London (BMNH 1875.2.27.8)",,,
Amphibia,Anura,Rhacophoridae,Taruga eques,Gunther's whipping frog,1917156,1,7,0,1,3,http://digimorph.org/specimens/Polypedates_eques/whole/,but used basionym Polypedates eques,assuming that Rockova is correct that all Anura have 3 fused caudal,"Digimorph: Natural History Museum, London (BMNH 1947.2.27.56)",,,
Amphibia,Anura,Rhacophoridae,Chiromantis rufescens,African foam-nest treefrog,143502,1,7,0,1,3,http://digimorph.org/specimens/Chiromantis_rufescens/whole/,,assuming that Rockova is correct that all Anura have 3 fused caudal,"Digimorph: Museum of Comparative Zoology, Harvard University (MCZ A-136738)",,,
