Major clade,Genus,species,MHI1,N,N Atypical CTL2,CTL Mode3,C Mode,T Mode,L Mode,Trans-T Mode4,Trans-L Mode5,S Mode,N int. C/T6,N int. T/L7,N int. L/S8,TransN9,N int. trans-T/L10,Analysis 1,Analysis 211,Analysis 3,Analysis 412,Analysis 513,Analysis 614,Analysis 715,Analysis 816,Analysis 917,Analysis 1018
Cetartiodactyla,Pecari,tajacu,0.511,17,4,26,7,14,5,11,8,4,0,0,2,17,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Phacochoerus,africanus,0.182,11,1,26,7,13,6,9,10,4,0,0,0,11,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Potamochoerus,porcus,0.362,15,3,26,7,14,5,10.5,8.5,4,0,0,0,15,0,SLOW,INT.,SLOW,TER.,NON,NOT,QUA.,AMBL.,STAB.,DS QUAD.
Cetartiodactyla,Hylochoerus,meinertzhageni,0.233,16,2,26,7,14,5,10,9,4,0,0,0,16,1,SLOW,INT.,SLOW,TER.,NON,NOT,QUA.,AMBL.,STAB.,DS QUAD.
Cetartiodactyla,Hippopotamus/Choeropsis,amphibius / liberiensis,0.200,10,1,26,7,15,4,11,8,4.5,0,0,0,10,0,SLOW,SLOW,SLOW,TER.,NON,NOT,SWIM.,AMBL.,STAB.,DS QUAD.
Cetartiodactyla,Caperea ,marginata,0.471,26,9,26,7,18,1,-,-,NA,0,0,0,-,-,-,-,-,AQU.,-,-,SWIM.,OTH.,STAB.,-
Cetartiodactyla,Lagenorhynchus,acutus,0.810,28,18,44,7,14,23,-,-,NA,0,0,0,-,-,-,-,-,AQU.,-,-,SWIM.,OTH.,MOB.,-
Cetartiodactyla,Okapia,johnstoni,0.410,13,3,26,7,14,5,13,7,4,0,0,0,13,1,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Giraffa,camelopardalis,0.282,13,2,26,7,14,5,14,5,4,0,0,0,12,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Antilocapra,americana,0,24,0,26,7,13,6,11,8,4,0,0,0,24,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Odocoileus,virginiana / hemionus,0.225,42,5,26,7,13,6,11,8,4,0,0,2,42,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Alces,alces,0.200,10,1,26,7,13,6,11,8,5,0,2,0,10,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Tragelaphus,angasii / buxtoni / eurycerus / imberbis / scriptus / spekii / strepsiceros / sp.,0.257,76,11,26,7,13,6,11,8,4,0,2,0,76,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Taurotragus,derbianus / oryx,0.333,22,4,26,7,13,6,12,7,5,0,2,2,21,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Boselaphus,tragocamelus,0,13,0,26,7,13,6,11,8,4,0,1,0,13,1,FAST,SLOW,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Syncerus,caffer,0.692,14,7,26,7,13,6,12,7,4,0,0,0,14,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Ourebia,ourebi,0.228,18,1,26,7,13,6,11,8,4,0,0,0,18,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Redunca,arundinum / fulvorufula / redunca / sp.,0,15,0,26,7,13,6,11,8,4,0,1,0,15,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Kobus,ellipsiprymnus / kob / leche / megaceros / vardonii,0.309,17,3,26,7,13,6,7,12,7,0,1,0,17,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Cephalophus,dorsalis / leucogaster / monticola / natalensis /  nigrifrons / silvicultor / weynsi,0.251,43,6,26,7,14,5,12,7,4,0,1,1,40,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Antilope,cervicapra,0,11,0,26,7,13,6,11,8,4,0,0,0,11,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Aepyceros,melampus,0,13,0,26,7,13,6,11,8,4,0,0,0,12,0,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Oreamnos,americanus,0,20,0,26,7,13,6,11,8,4,0,1,0,20,1,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Ovibos,moschatus,0,11,0,26,7,13,6,11,8,4,0,0,0,11,1,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Cetartiodactyla,Damaliscus,lunatus / pygargus / sp.,0.153,25,2,26,7,13,6,12,7,4,0,1,0,25,2,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Alcelaphus,buselaphus,0,10,0,26,7,13,6,12,7,4,0,0,0,10,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,STAB.,DS QUAD.
Cetartiodactyla,Oryx,beisa / dammah / gazella / leucoryx,0.170,23,2,26,7,13,6,11,8,4,0,2,1,22,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Otolemur,crassicaudatus / garnettii,0.549,23,10,26,7,13,6,12,8,3,0,1,0,18,0,-,-,-,ARB.,NON,NOT,QUA.,RUN.,STAB.,MOB.
Primates,Euoticus,elegantulus,0.386,18,4,26,7,13,6,11,8,3,0,0,0,3,0,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Nycticebus,coucang,0.688,22,11,30,7,16,7,14,9,6,1,0,2,9,0,SLOW,SLOW,-,ARB.,NON,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Loris,tardigradus,0.327,11,2,30,7,15,8,13,10,4,0,1,0,6,0,-,-,-,ARB.,NON,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Perodicticus,potto,0.640,25,12,29,7,15,7,14,8,6,0,0,0,4,0,SLOW,SLOW,-,ARB.,NON,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Arctocebus,calabarensis,0.609,26,11,28,7,14,7,13,8,6,0,2,0,3,0,-,-,-,ARB.,NON,ANTI.,SUSP.,CLIM.,MOB.,-
Primates,Lemur,catta,0.200,10,1,26,7,12,7,10,9,3,0,0,0,4,0,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Eulemur,albifrons / collaris / macaco / mongoz /   rubriventer /  sanfordi,0.363,34,7,26,7,12,7,10,9,3,0,1,1,27,2,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Indri,indri,0.533,15,5,28,7,12,9,11,10,3,0,2,0,5,0,-,-,-,ARB.,UPR.,NOT,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Propithecus ,coquereli / diadema / verreauxi / sp.,0.670,14,7,27,7,12,8,-,-,2,0,0,0,-,-,-,-,-,ARB.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Saimiri,sciureus,0.484,20,20,27,7,13,7,10,10,3,0,0,2,9,1,FAST,INT.,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
